workflow_id,ticket_id,agent_name,agent_stage,input_summary,output_summary,confidence_score,recommended_action,auto_resolution_status,escalation_required,human_override,decision_timestamp,processing_time_seconds,workflow_status
WF-700021,TKT-101561,Categorization Agent,Route decision,Database performance degradation,Routed to Network Operations team,0.645,Request more info,Yes,Yes,No,2024-02-13 07:12:19,4991,Failed
WF-700022,TKT-100229,Resolution Agent,Generate solution,New feature request for dashboard export,Routed to Network Operations team,0.937,Escalate to manager,No,Yes,No,2024-05-08 18:34:02,1629,Completed
WF-700023,TKT-100175,Supervisor Agent,Review output,Database performance degradation,Provided authentication troubleshooting steps,0.709,Schedule callback,Partial,No,No,2024-06-03 01:02:28,1382,Completed
WF-700024,TKT-100338,Resolution Agent,Format response,Firmware update installation failed,Processed refund request and return label,0.839,Escalate to manager,No,Yes,No,2024-04-27 16:58:07,763,Escalated
WF-700025,TKT-101412,Categorization Agent,Route decision,Security alert for suspicious login attempts,Processed refund request and return label,0.754,Request more info,No,No,No,2024-02-21 23:06:51,1953,Pending
WF-700026,TKT-100247,Categorization Agent,Analyze category,"Billing dispute for $4,500 invoice",Escalated to Engineering for deep analysis,0.623,Auto-resolve from KB,No,Yes,No,2024-03-21 07:25:36,1736,Completed
WF-700027,TKT-100471,Automation Agent,Execute action,Customer reports connectivity issues affecting production,Referred to Billing specialist for investigation,0.979,Auto-resolve from KB,No,No,No,2024-05-08 12:58:37,954,Completed
WF-700028,TKT-101760,Resolution Agent,Search KB,Database performance degradation,Logged feature request in product backlog,0.571,Create known issue,No,Yes,No,2024-03-08 14:37:42,1833,Completed
WF-700029,TKT-100438,Automation Agent,Execute action,Firmware update installation failed,Offered firmware rollback or upgrade path,0.873,Wait for customer,No,No,No,2024-03-09 14:28:03,866,Failed
WF-700030,TKT-100833,Categorization Agent,Analyze category,"Billing dispute for $4,500 invoice",Processed refund request and return label,0.982,Request more info,No,No,No,2024-04-06 11:41:47,3682,Completed
WF-700031,TKT-101493,Intake Agent,Validate format,"Billing dispute for $4,500 invoice",Routed to Network Operations team,0.749,Send template response,No,Yes,No,2024-06-12 20:01:22,1894,Completed
WF-700032,TKT-100223,Categorization Agent,Analyze category,New feature request for dashboard export,Recommended database optimization,0.848,Wait for customer,Partial,No,No,2024-02-21 02:24:40,3319,In Progress
WF-700033,TKT-100947,Categorization Agent,Analyze category,Password reset request for shared account,Recommended database optimization,0.839,Route to specialist,No,No,No,2024-01-11 02:15:55,2485,Failed
WF-700034,TKT-101712,Intake Agent,Parse ticket,New feature request for dashboard export,Provided authentication troubleshooting steps,0.86,Send template response,No,No,No,2024-01-07 13:00:43,4161,In Progress
WF-700035,TKT-100821,Intake Agent,Parse ticket,Refund request for damaged product,Routed to Network Operations team,0.586,Send template response,Partial,Yes,No,2024-05-08 05:48:52,3743,Completed
WF-700036,TKT-101605,Supervisor Agent,Quality check,Refund request for damaged product,Recommended database optimization,0.941,Wait for customer,No,No,No,2024-05-26 04:12:31,2156,Completed
WF-700037,TKT-101983,Intake Agent,Validate format,Database performance degradation,Routed to Network Operations team,0.915,Request more info,Partial,No,No,2024-04-25 03:34:34,3291,Escalated
WF-700038,TKT-101029,Automation Agent,Execute action,Customer reports connectivity issues affecting production,Recommended database optimization,0.958,Route to specialist,No,Yes,No,2024-04-21 00:42:37,4299,In Progress
WF-700039,TKT-100139,Categorization Agent,Assess priority,"Billing dispute for $4,500 invoice",Offered firmware rollback or upgrade path,0.961,Escalate to manager,Partial,No,Yes,2024-03-22 21:31:45,3061,Completed
WF-700040,TKT-100167,Supervisor Agent,Escalation decision,Firmware update installation failed,Offered firmware rollback or upgrade path,0.839,Archive ticket,No,No,No,2024-02-02 01:06:27,4167,In Progress
WF-700041,TKT-101371,Resolution Agent,Search KB,Security alert for suspicious login attempts,Processed refund request and return label,0.68,Schedule callback,No,Yes,No,2024-02-02 19:28:11,1318,In Progress
WF-700042,TKT-100614,Supervisor Agent,Quality check,"Billing dispute for $4,500 invoice",Routed to Network Operations team,0.749,Wait for customer,No,No,No,2024-02-07 13:08:53,1145,Completed
WF-700043,TKT-100204,Intake Agent,Validate format,New feature request for dashboard export,Recommended database optimization,0.693,Create known issue,Partial,Yes,No,2024-01-21 15:00:45,3454,Completed
WF-700044,TKT-100714,Intake Agent,Parse ticket,API integration timeout errors,Initiated security incident response,0.816,Schedule callback,No,No,No,2024-02-17 12:41:54,4648,Completed
WF-700045,TKT-100619,Automation Agent,Send notification,Database performance degradation,Routed to Network Operations team,0.78,Archive ticket,No,No,No,2024-06-06 12:04:44,116,Pending
WF-700046,TKT-101922,Categorization Agent,Assess priority,"Billing dispute for $4,500 invoice",Referred to Billing specialist for investigation,0.637,Archive ticket,Partial,Yes,No,2024-02-15 12:33:56,1160,Escalated
WF-700047,TKT-100577,Automation Agent,Execute action,API integration timeout errors,Logged feature request in product backlog,0.78,Create known issue,Partial,No,No,2024-06-08 01:41:42,1239,Completed
WF-700048,TKT-101859,Intake Agent,Parse ticket,Refund request for damaged product,Initiated security incident response,0.632,Auto-resolve from KB,No,Yes,Yes,2024-02-23 18:21:45,2165,Completed
WF-700049,TKT-101579,Categorization Agent,Route decision,Security alert for suspicious login attempts,Provided authentication troubleshooting steps,0.956,Wait for customer,Yes,No,No,2024-03-26 05:01:10,4821,In Progress
WF-700050,TKT-100019,Intake Agent,Parse ticket,VPN client authentication failure,Recommended database optimization,0.569,Auto-resolve from KB,No,Yes,No,2024-04-13 21:41:09,1509,Completed
WF-700051,TKT-101192,Automation Agent,Execute action,Refund request for damaged product,Provided authentication troubleshooting steps,0.676,Auto-resolve from KB,No,Yes,No,2024-02-19 08:13:12,2906,Completed
WF-700052,TKT-101841,Intake Agent,Extract info,New feature request for dashboard export,Logged feature request in product backlog,0.8,Route to specialist,Yes,No,No,2024-06-21 00:39:28,3050,Completed
WF-700053,TKT-101791,Supervisor Agent,Escalation decision,VPN client authentication failure,Logged feature request in product backlog,0.535,Schedule callback,No,Yes,No,2024-05-22 03:43:23,2801,Escalated
WF-700054,TKT-101660,Categorization Agent,Assess priority,Customer reports connectivity issues affecting production,Provided authentication troubleshooting steps,0.784,Request more info,No,Yes,No,2024-06-01 14:42:01,2082,Completed
WF-700055,TKT-101371,Categorization Agent,Assess priority,VPN client authentication failure,Referred to Billing specialist for investigation,0.766,Send template response,No,Yes,No,2024-01-15 04:15:38,1815,Completed
WF-700056,TKT-100455,Categorization Agent,Assess priority,API integration timeout errors,Initiated security incident response,0.562,Escalate to manager,No,Yes,No,2024-04-17 15:00:21,3224,Completed
WF-700057,TKT-101351,Categorization Agent,Assess priority,API integration timeout errors,Initiated security incident response,0.525,Route to specialist,No,Yes,No,2024-06-16 20:25:23,4242,In Progress
WF-700058,TKT-100571,Resolution Agent,Format response,Database performance degradation,Processed refund request and return label,0.565,Archive ticket,Partial,Yes,No,2024-04-29 22:59:10,1793,Completed
WF-700059,TKT-100056,Intake Agent,Extract info,VPN client authentication failure,Offered firmware rollback or upgrade path,0.712,Create known issue,No,No,No,2024-04-26 01:39:09,1469,Completed
WF-700060,TKT-100707,Resolution Agent,Generate solution,Firmware update installation failed,Recommended database optimization,0.91,Route to specialist,No,No,No,2024-05-01 04:41:36,1112,Completed
WF-700061,TKT-100521,Intake Agent,Validate format,Refund request for damaged product,Routed to Network Operations team,0.717,Archive ticket,No,Yes,No,2024-04-26 00:55:43,659,Completed
WF-700062,TKT-101473,Categorization Agent,Assess priority,Refund request for damaged product,Referred to Billing specialist for investigation,0.753,Request more info,No,No,No,2024-03-16 18:40:15,680,In Progress
WF-700063,TKT-100255,Resolution Agent,Format response,Security alert for suspicious login attempts,Processed refund request and return label,0.578,Request more info,Yes,Yes,No,2024-03-09 12:14:38,3456,Completed
WF-700064,TKT-100605,Automation Agent,Execute action,New feature request for dashboard export,Processed refund request and return label,0.52,Send template response,Partial,Yes,No,2024-05-23 09:47:27,3159,Completed
WF-700065,TKT-101848,Categorization Agent,Route decision,Firmware update installation failed,Initiated security incident response,0.895,Send template response,No,No,Yes,2024-01-10 22:06:45,1857,In Progress
WF-700066,TKT-100587,Categorization Agent,Assess priority,Firmware update installation failed,Offered firmware rollback or upgrade path,0.811,Request more info,Yes,No,No,2024-01-01 11:39:35,3830,Completed
WF-700067,TKT-100437,Automation Agent,Update records,VPN client authentication failure,Referred to Billing specialist for investigation,0.823,Create known issue,No,No,No,2024-01-02 13:38:35,2939,Escalated
WF-700068,TKT-100686,Intake Agent,Parse ticket,Security alert for suspicious login attempts,Logged feature request in product backlog,0.787,Escalate to manager,Partial,No,Yes,2024-06-11 09:46:35,1787,In Progress
WF-700069,TKT-100973,Automation Agent,Execute action,Password reset request for shared account,Processed refund request and return label,0.563,Escalate to manager,Partial,Yes,No,2024-03-07 10:38:24,3598,Escalated
WF-700070,TKT-100786,Supervisor Agent,Quality check,New feature request for dashboard export,Provided authentication troubleshooting steps,0.819,Auto-resolve from KB,No,Yes,No,2024-04-04 00:56:13,4480,Completed
WF-700071,TKT-101813,Intake Agent,Extract info,New feature request for dashboard export,Provided authentication troubleshooting steps,0.509,Archive ticket,Yes,Yes,No,2024-03-30 07:02:31,2182,Completed
WF-700072,TKT-101141,Categorization Agent,Analyze category,Password reset request for shared account,Provided authentication troubleshooting steps,0.689,Wait for customer,No,Yes,No,2024-04-14 05:39:18,3169,Failed
WF-700073,TKT-101144,Automation Agent,Update records,Password reset request for shared account,Offered firmware rollback or upgrade path,0.558,Archive ticket,No,Yes,No,2024-04-29 09:18:16,1616,Escalated
WF-700074,TKT-101857,Automation Agent,Update records,VPN client authentication failure,Sent password reset instructions,0.894,Wait for customer,No,No,No,2024-05-31 13:08:15,3565,Completed
WF-700075,TKT-101305,Resolution Agent,Format response,Password reset request for shared account,Logged feature request in product backlog,0.782,Create known issue,No,No,No,2024-04-05 16:23:51,1671,Completed
WF-700076,TKT-100480,Resolution Agent,Generate solution,API integration timeout errors,Recommended database optimization,0.925,Route to specialist,No,No,No,2024-01-13 12:01:26,3951,Completed
WF-700077,TKT-101421,Categorization Agent,Route decision,New feature request for dashboard export,Referred to Billing specialist for investigation,0.87,Send template response,Yes,No,No,2024-04-21 00:12:08,4052,Completed
WF-700078,TKT-100851,Intake Agent,Parse ticket,Refund request for damaged product,Processed refund request and return label,0.657,Auto-resolve from KB,Partial,Yes,No,2024-05-26 10:15:39,495,Pending
WF-700079,TKT-101567,Automation Agent,Update records,Password reset request for shared account,Routed to Network Operations team,0.674,Request more info,Partial,Yes,No,2024-03-23 16:55:21,2882,Pending
WF-700080,TKT-100798,Supervisor Agent,Escalation decision,Database performance degradation,Offered firmware rollback or upgrade path,0.81,Escalate to manager,No,No,No,2024-05-02 16:49:26,4591,Completed
WF-700081,TKT-100994,Intake Agent,Extract info,API integration timeout errors,Processed refund request and return label,0.883,Schedule callback,Yes,Yes,No,2024-05-01 02:35:48,3082,Pending
WF-700082,TKT-101274,Automation Agent,Execute action,Refund request for damaged product,Offered firmware rollback or upgrade path,0.861,Auto-resolve from KB,No,No,No,2024-03-14 23:01:13,4946,Completed
WF-700083,TKT-101775,Supervisor Agent,Review output,Customer reports connectivity issues affecting production,Initiated security incident response,0.803,Send template response,Yes,No,No,2024-06-16 10:51:21,1642,Completed
WF-700084,TKT-100691,Supervisor Agent,Quality check,Refund request for damaged product,Initiated security incident response,0.694,Route to specialist,Partial,Yes,No,2024-06-13 15:11:33,1317,Completed
WF-700085,TKT-101534,Automation Agent,Execute action,API integration timeout errors,Logged feature request in product backlog,0.983,Route to specialist,No,Yes,No,2024-05-24 16:04:14,1956,Escalated
WF-700086,TKT-101544,Intake Agent,Parse ticket,New feature request for dashboard export,Routed to Network Operations team,0.945,Schedule callback,No,No,No,2024-06-07 09:36:18,1927,Completed
WF-700087,TKT-100234,Automation Agent,Execute action,Password reset request for shared account,Initiated security incident response,0.881,Request more info,No,No,No,2024-01-19 04:18:05,4286,Completed
WF-700088,TKT-101531,Intake Agent,Parse ticket,Security alert for suspicious login attempts,Referred to Billing specialist for investigation,0.741,Auto-resolve from KB,Yes,Yes,No,2024-05-27 15:29:31,1343,Completed
WF-700089,TKT-101859,Supervisor Agent,Quality check,New feature request for dashboard export,Referred to Billing specialist for investigation,0.876,Escalate to manager,Partial,No,No,2024-04-01 17:07:09,2058,In Progress
WF-700090,TKT-101741,Automation Agent,Execute action,Firmware update installation failed,Routed to Network Operations team,0.696,Request more info,No,Yes,No,2024-04-26 18:47:21,923,Completed
WF-700091,TKT-101354,Resolution Agent,Search KB,Database performance degradation,Escalated to Engineering for deep analysis,0.506,Auto-resolve from KB,Partial,Yes,No,2024-03-20 17:07:22,1952,Completed
WF-700092,TKT-101684,Supervisor Agent,Review output,Refund request for damaged product,Escalated to Engineering for deep analysis,0.95,Wait for customer,No,Yes,No,2024-02-18 10:40:13,3612,Completed
WF-700093,TKT-101502,Automation Agent,Send notification,Security alert for suspicious login attempts,Offered firmware rollback or upgrade path,0.644,Archive ticket,Partial,Yes,No,2024-05-23 11:30:30,3737,Completed
WF-700094,TKT-100952,Supervisor Agent,Escalation decision,Firmware update installation failed,Initiated security incident response,0.522,Request more info,No,Yes,No,2024-04-11 06:39:19,2883,Completed
WF-700095,TKT-101701,Intake Agent,Extract info,Password reset request for shared account,Logged feature request in product backlog,0.804,Wait for customer,No,No,No,2024-02-29 08:52:01,4285,Completed
WF-700096,TKT-100688,Intake Agent,Extract info,API integration timeout errors,Provided authentication troubleshooting steps,0.63,Wait for customer,No,Yes,No,2024-05-24 10:34:48,4935,Pending
WF-700097,TKT-101633,Resolution Agent,Generate solution,Security alert for suspicious login attempts,Offered firmware rollback or upgrade path,0.652,Create known issue,Partial,Yes,No,2024-05-20 09:32:29,2879,Completed
WF-700098,TKT-101058,Categorization Agent,Analyze category,New feature request for dashboard export,Processed refund request and return label,0.537,Wait for customer,Partial,Yes,No,2024-06-01 18:12:25,355,Completed
WF-700099,TKT-100492,Supervisor Agent,Escalation decision,Password reset request for shared account,Sent password reset instructions,0.957,Auto-resolve from KB,Partial,No,No,2024-03-05 02:20:15,1115,Completed
WF-700100,TKT-101416,Categorization Agent,Assess priority,Firmware update installation failed,Escalated to Engineering for deep analysis,0.983,Wait for customer,No,No,No,2024-02-28 20:07:54,4258,Completed
WF-700101,TKT-101527,Automation Agent,Update records,API integration timeout errors,Sent password reset instructions,0.779,Create known issue,Yes,No,No,2024-05-08 00:06:44,2252,Completed
WF-700102,TKT-101477,Categorization Agent,Assess priority,"Billing dispute for $4,500 invoice",Recommended database optimization,0.528,Schedule callback,Partial,Yes,No,2024-05-12 22:24:02,2100,Completed
WF-700103,TKT-101512,Supervisor Agent,Quality check,Firmware update installation failed,Recommended database optimization,0.772,Create known issue,No,Yes,No,2024-03-23 03:44:16,2824,In Progress
WF-700104,TKT-100606,Categorization Agent,Assess priority,VPN client authentication failure,Initiated security incident response,0.618,Auto-resolve from KB,No,Yes,No,2024-01-04 06:05:49,2148,Pending
WF-700105,TKT-100259,Resolution Agent,Search KB,Customer reports connectivity issues affecting production,Recommended database optimization,0.93,Create known issue,No,No,No,2024-03-12 04:01:29,2181,Completed
WF-700106,TKT-101778,Supervisor Agent,Review output,Customer reports connectivity issues affecting production,Offered firmware rollback or upgrade path,0.744,Create known issue,No,No,No,2024-01-12 11:55:44,870,Completed
WF-700107,TKT-100377,Intake Agent,Extract info,Password reset request for shared account,Referred to Billing specialist for investigation,0.77,Route to specialist,No,No,No,2024-04-21 05:19:58,4958,Completed
WF-700108,TKT-101289,Intake Agent,Parse ticket,VPN client authentication failure,Offered firmware rollback or upgrade path,0.514,Create known issue,No,Yes,No,2024-06-27 16:31:34,4081,In Progress
WF-700109,TKT-100508,Intake Agent,Validate format,Refund request for damaged product,Offered firmware rollback or upgrade path,0.567,Escalate to manager,Yes,Yes,No,2024-01-30 07:12:14,1429,Completed
WF-700110,TKT-100779,Supervisor Agent,Quality check,Security alert for suspicious login attempts,Offered firmware rollback or upgrade path,0.714,Send template response,Partial,No,No,2024-03-19 19:29:33,1431,Completed
WF-700111,TKT-101248,Intake Agent,Parse ticket,New feature request for dashboard export,Initiated security incident response,0.805,Route to specialist,Partial,No,No,2024-05-17 15:24:39,2280,In Progress
WF-700112,TKT-100153,Categorization Agent,Analyze category,Refund request for damaged product,Sent password reset instructions,0.913,Wait for customer,No,No,No,2024-01-06 03:59:48,3131,Completed
WF-700113,TKT-101447,Resolution Agent,Format response,Password reset request for shared account,Referred to Billing specialist for investigation,0.67,Escalate to manager,No,Yes,No,2024-04-24 01:44:14,4238,Completed
WF-700114,TKT-101613,Automation Agent,Send notification,New feature request for dashboard export,Processed refund request and return label,0.563,Route to specialist,Yes,Yes,No,2024-05-11 11:27:20,3545,In Progress
WF-700115,TKT-101326,Categorization Agent,Assess priority,VPN client authentication failure,Referred to Billing specialist for investigation,0.939,Auto-resolve from KB,No,No,No,2024-03-01 03:08:34,4288,Pending
WF-700116,TKT-101533,Automation Agent,Update records,Password reset request for shared account,Referred to Billing specialist for investigation,0.52,Wait for customer,No,Yes,No,2024-01-22 22:00:52,4799,Completed
WF-700117,TKT-101433,Supervisor Agent,Quality check,Database performance degradation,Recommended database optimization,0.769,Wait for customer,No,No,No,2024-02-03 22:43:38,623,Completed
WF-700118,TKT-101821,Supervisor Agent,Escalation decision,API integration timeout errors,Offered firmware rollback or upgrade path,0.519,Create known issue,No,Yes,Yes,2024-04-03 05:21:02,2361,Completed
WF-700119,TKT-100468,Automation Agent,Send notification,Customer reports connectivity issues affecting production,Initiated security incident response,0.685,Auto-resolve from KB,Yes,Yes,No,2024-06-28 00:05:02,2155,In Progress
WF-700120,TKT-100358,Supervisor Agent,Escalation decision,Password reset request for shared account,Initiated security incident response,0.682,Schedule callback,No,Yes,No,2024-03-18 12:17:27,4669,In Progress
WF-700121,TKT-100892,Supervisor Agent,Review output,Password reset request for shared account,Escalated to Engineering for deep analysis,0.853,Send template response,Yes,No,No,2024-04-16 10:43:58,1746,Failed
WF-700122,TKT-101756,Categorization Agent,Assess priority,Refund request for damaged product,Sent password reset instructions,0.515,Create known issue,Partial,Yes,No,2024-04-28 02:51:07,2006,Completed
WF-700123,TKT-100820,Automation Agent,Execute action,Password reset request for shared account,Referred to Billing specialist for investigation,0.51,Request more info,No,Yes,No,2024-05-24 00:59:56,225,Completed
WF-700124,TKT-100237,Supervisor Agent,Escalation decision,Customer reports connectivity issues affecting production,Recommended database optimization,0.791,Wait for customer,No,No,No,2024-05-25 07:25:34,166,In Progress
WF-700125,TKT-100740,Automation Agent,Update records,Password reset request for shared account,Routed to Network Operations team,0.786,Escalate to manager,No,No,No,2024-04-22 06:27:55,4818,In Progress
WF-700126,TKT-100589,Supervisor Agent,Escalation decision,Password reset request for shared account,Referred to Billing specialist for investigation,0.563,Auto-resolve from KB,No,Yes,No,2024-02-28 04:47:40,2839,In Progress
WF-700127,TKT-101246,Categorization Agent,Route decision,VPN client authentication failure,Initiated security incident response,0.662,Archive ticket,Partial,Yes,Yes,2024-03-10 19:45:58,1560,Completed
WF-700128,TKT-100835,Intake Agent,Parse ticket,"Billing dispute for $4,500 invoice",Sent password reset instructions,0.739,Route to specialist,Partial,No,No,2024-04-04 23:47:35,3617,Completed
WF-700129,TKT-101910,Resolution Agent,Format response,Security alert for suspicious login attempts,Processed refund request and return label,0.939,Wait for customer,Yes,Yes,No,2024-02-05 02:31:51,342,Completed
WF-700130,TKT-101128,Categorization Agent,Assess priority,New feature request for dashboard export,Offered firmware rollback or upgrade path,0.555,Archive ticket,No,Yes,No,2024-05-13 00:01:57,4270,Escalated
WF-700131,TKT-100279,Intake Agent,Extract info,Refund request for damaged product,Escalated to Engineering for deep analysis,0.626,Archive ticket,No,Yes,No,2024-05-15 12:55:14,4389,Completed
WF-700132,TKT-100005,Resolution Agent,Format response,Security alert for suspicious login attempts,Offered firmware rollback or upgrade path,0.911,Wait for customer,No,Yes,No,2024-01-20 10:16:16,1241,In Progress
WF-700133,TKT-100991,Resolution Agent,Generate solution,Database performance degradation,Recommended database optimization,0.76,Send template response,No,No,No,2024-02-06 00:31:57,4849,Completed
WF-700134,TKT-100386,Categorization Agent,Route decision,Refund request for damaged product,Logged feature request in product backlog,0.576,Send template response,No,Yes,Yes,2024-05-13 16:29:43,2126,Completed
WF-700135,TKT-101525,Supervisor Agent,Escalation decision,Refund request for damaged product,Processed refund request and return label,0.566,Schedule callback,Yes,Yes,No,2024-06-16 09:33:07,2319,Completed
WF-700136,TKT-100075,Categorization Agent,Route decision,Firmware update installation failed,Escalated to Engineering for deep analysis,0.625,Route to specialist,No,Yes,No,2024-05-22 22:09:27,2932,Completed
WF-700137,TKT-100901,Intake Agent,Validate format,Password reset request for shared account,Routed to Network Operations team,0.797,Schedule callback,No,No,No,2024-03-02 03:23:39,1218,Escalated
WF-700138,TKT-100316,Intake Agent,Extract info,Security alert for suspicious login attempts,Escalated to Engineering for deep analysis,0.973,Send template response,Yes,No,No,2024-06-10 23:29:15,475,Pending
WF-700139,TKT-101745,Automation Agent,Update records,API integration timeout errors,Sent password reset instructions,0.686,Archive ticket,Partial,Yes,Yes,2024-03-04 02:13:27,3491,Completed
WF-700140,TKT-100140,Categorization Agent,Route decision,Security alert for suspicious login attempts,Logged feature request in product backlog,0.906,Route to specialist,No,No,No,2024-01-05 05:21:22,1414,Completed
WF-700141,TKT-101297,Intake Agent,Extract info,VPN client authentication failure,Initiated security incident response,0.826,Auto-resolve from KB,No,No,No,2024-02-11 23:20:56,4327,Completed
WF-700142,TKT-100600,Resolution Agent,Generate solution,Refund request for damaged product,Provided authentication troubleshooting steps,0.835,Escalate to manager,No,No,No,2024-06-27 20:22:20,4811,Completed
WF-700143,TKT-101623,Categorization Agent,Analyze category,VPN client authentication failure,Referred to Billing specialist for investigation,0.648,Send template response,No,Yes,No,2024-05-24 09:26:56,2290,Completed
WF-700144,TKT-100493,Supervisor Agent,Escalation decision,VPN client authentication failure,Logged feature request in product backlog,0.692,Wait for customer,No,Yes,No,2024-02-08 18:45:06,3787,Completed
WF-700145,TKT-100941,Resolution Agent,Format response,Customer reports connectivity issues affecting production,Sent password reset instructions,0.711,Create known issue,No,No,No,2024-01-15 19:48:44,1302,Completed
WF-700146,TKT-100904,Resolution Agent,Format response,Security alert for suspicious login attempts,Processed refund request and return label,0.743,Create known issue,No,No,No,2024-02-07 18:30:56,1022,In Progress
WF-700147,TKT-100787,Supervisor Agent,Review output,New feature request for dashboard export,Processed refund request and return label,0.846,Request more info,No,No,No,2024-03-26 16:26:41,2436,Completed
WF-700148,TKT-100604,Intake Agent,Validate format,Refund request for damaged product,Initiated security incident response,0.874,Auto-resolve from KB,Partial,No,No,2024-05-20 06:35:10,3012,Completed
WF-700149,TKT-101525,Intake Agent,Validate format,Password reset request for shared account,Initiated security incident response,0.686,Escalate to manager,No,Yes,No,2024-06-05 03:59:42,3328,Completed
WF-700150,TKT-100721,Categorization Agent,Route decision,New feature request for dashboard export,Offered firmware rollback or upgrade path,0.7,Create known issue,No,No,No,2024-06-12 19:48:35,194,Completed
WF-700151,TKT-101350,Categorization Agent,Route decision,"Billing dispute for $4,500 invoice",Routed to Network Operations team,0.589,Create known issue,Partial,Yes,No,2024-01-23 00:13:34,2697,Completed
WF-700152,TKT-100068,Automation Agent,Update records,VPN client authentication failure,Referred to Billing specialist for investigation,0.641,Create known issue,No,Yes,No,2024-04-20 07:35:06,2365,Completed
WF-700153,TKT-100850,Categorization Agent,Analyze category,VPN client authentication failure,Recommended database optimization,0.957,Request more info,No,No,No,2024-05-06 14:32:09,3035,Completed
WF-700154,TKT-101700,Categorization Agent,Assess priority,Password reset request for shared account,Initiated security incident response,0.878,Request more info,No,Yes,No,2024-02-09 19:08:24,4246,In Progress
WF-700155,TKT-100154,Categorization Agent,Analyze category,Refund request for damaged product,Recommended database optimization,0.954,Request more info,No,No,No,2024-03-30 00:27:25,2961,Completed
