analysis_id,ticket_id,product_id,uploaded_image_name,damage_detected,damage_type,color_mismatch,missing_component,ocr_detected_text,image_confidence_score,recommended_decision,fraud_risk_score,manual_review_required,analysis_timestamp
IMG-800020,TKT-100552,PROD-1878,product_image_00020.jpg,No,,No,No,Part Number: PN-88421,0.707,No Action Needed,0.03,Yes,2024-06-28 15:06:24
IMG-800021,TKT-101726,PROD-1739,product_image_00021.jpg,Yes,Missing Component,No,No,,0.887,Approve Partial Refund,0.046,No,2024-03-21 07:25:36
IMG-800022,TKT-101648,PROD-1232,product_image_00022.jpg,No,,No,Yes,Serial: SN-2024-001,0.767,Approve Replacement,0.067,No,2024-05-05 14:07:39
IMG-800023,TKT-100432,PROD-1790,product_image_00023.jpg,No,,No,No,,0.677,No Action Needed,0.043,Yes,2024-05-24 07:02:22
IMG-800024,TKT-100644,PROD-1816,product_image_00024.jpg,No,,No,No,Made in China,0.786,No Action Needed,0.083,No,2024-05-23 06:59:44
IMG-800025,TKT-101811,PROD-1711,product_image_00025.jpg,No,,No,No,Warranty: 12 months,0.942,No Action Needed,0.039,No,2024-06-12 20:01:22
IMG-800026,TKT-100505,PROD-1878,product_image_00026.jpg,No,,No,No,Component: Active Directory,0.683,No Action Needed,0.095,Yes,2024-06-16 19:48:15
IMG-800027,TKT-100877,PROD-1790,product_image_00027.jpg,No,,No,No,MFG: 2024-01,0.9,No Action Needed,0.029,No,2024-06-07 23:53:01
IMG-800028,TKT-100283,PROD-1878,product_image_00028.jpg,No,,No,No,Model: NP-5000X,0.984,No Action Needed,0.056,No,2024-04-22 00:34:09
IMG-800029,TKT-101763,PROD-1522,product_image_00029.jpg,No,,No,No,Warranty: 12 months,0.95,No Action Needed,0.027,No,2024-04-08 11:50:42
IMG-800030,TKT-101622,PROD-1652,product_image_00030.jpg,No,,No,No,Made in China,0.915,No Action Needed,0.068,No,2024-03-15 09:05:11
IMG-800031,TKT-100781,PROD-1790,product_image_00031.jpg,No,,No,No,,0.777,No Action Needed,0.095,No,2024-06-01 19:01:37
IMG-800032,TKT-101083,PROD-1423,product_image_00032.jpg,No,,No,No,,0.872,No Action Needed,0.03,No,2024-06-09 10:41:07
IMG-800033,TKT-101762,PROD-1739,product_image_00033.jpg,No,,No,No,Serial: SN-2024-001,0.871,No Action Needed,0.086,No,2024-05-24 19:31:11
IMG-800034,TKT-101396,PROD-1878,product_image_00034.jpg,No,,No,No,,0.74,No Action Needed,0.032,Yes,2024-02-07 13:08:53
IMG-800035,TKT-101574,PROD-1232,product_image_00035.jpg,No,,No,No,Made in China,0.92,No Action Needed,0.055,No,2024-01-28 11:03:10
IMG-800036,TKT-100323,PROD-1711,product_image_00036.jpg,No,,No,No,WARNING: Do not expose to moisture,0.745,No Action Needed,0.012,Yes,2024-02-18 20:29:04
IMG-800037,TKT-101990,PROD-1878,product_image_00037.jpg,No,,No,No,,0.95,No Action Needed,0.077,No,2024-02-06 05:11:51
IMG-800038,TKT-101039,PROD-1522,product_image_00038.jpg,No,,No,No,,0.983,No Action Needed,0.017,No,2024-06-08 01:41:42
IMG-800039,TKT-100611,PROD-1878,product_image_00039.jpg,No,,No,No,Warranty: 12 months,0.784,No Action Needed,0.086,No,2024-03-07 14:24:45
IMG-800040,TKT-100765,PROD-1057,product_image_00040.jpg,Yes,Crack,No,No,,0.698,Approve Replacement,0.221,Yes,2024-01-17 07:42:31
IMG-800041,TKT-101889,PROD-1878,product_image_00041.jpg,No,,No,No,,0.75,No Action Needed,0.083,No,2024-04-08 14:09:53
IMG-800042,TKT-101226,PROD-1232,product_image_00042.jpg,No,,No,No,Serial: SN-2024-001,0.821,No Action Needed,0.082,No,2024-03-05 21:32:55
IMG-800043,TKT-101902,PROD-1232,product_image_00043.jpg,No,,No,No,,0.765,No Action Needed,0.044,No,2024-03-06 03:02:46
IMG-800044,TKT-101703,PROD-1423,product_image_00044.jpg,No,,No,No,MFG: 2024-01,0.984,No Action Needed,0.086,No,2024-02-27 15:44:21
IMG-800045,TKT-101798,PROD-1790,product_image_00045.jpg,No,,Yes,No,,0.833,Approve Replacement,0.039,No,2024-01-08 05:25:08
IMG-800046,TKT-100175,PROD-1711,product_image_00046.jpg,No,,No,No,,0.936,No Action Needed,0.027,No,2024-04-03 19:21:18
IMG-800047,TKT-101557,PROD-1878,product_image_00047.jpg,No,,No,No,,0.98,No Action Needed,0.074,No,2024-05-26 20:30:47
IMG-800048,TKT-100262,PROD-1711,product_image_00048.jpg,No,,No,No,,0.659,No Action Needed,0.097,Yes,2024-01-23 00:19:10
IMG-800049,TKT-100338,PROD-1423,product_image_00049.jpg,No,,No,No,Component: Active Directory,0.703,No Action Needed,0.033,Yes,2024-05-05 01:27:17
IMG-800050,TKT-100866,PROD-1816,product_image_00050.jpg,No,,No,No,,0.975,No Action Needed,0.076,No,2024-03-09 16:33:58
IMG-800051,TKT-101546,PROD-1816,product_image_00051.jpg,Yes,Shattered Glass,No,No,Part Number: PN-88421,0.691,Approve Refund,0.092,Yes,2024-03-09 12:14:38
IMG-800052,TKT-100897,PROD-1878,product_image_00052.jpg,Yes,Paint Chipping,No,No,MFG: 2024-01,0.811,Approve Replacement,0.128,No,2024-02-08 17:25:52
IMG-800053,TKT-100131,PROD-1232,product_image_00053.jpg,No,,No,Yes,Input: 110-240V,0.973,Approve Replacement,0.09,No,2024-06-28 11:09:18
IMG-800054,TKT-100471,PROD-1790,product_image_00054.jpg,Yes,Missing Component,No,No,Model: NP-5000X,0.833,Approve Partial Refund,0.158,Yes,2024-03-20 08:36:17
IMG-800055,TKT-100468,PROD-1522,product_image_00055.jpg,Yes,Scratches,No,No,,0.846,Approve Replacement,0.164,Yes,2024-06-09 19:36:28
IMG-800056,TKT-100145,PROD-1878,product_image_00056.jpg,No,,No,No,Max Capacity: 5TB,0.977,No Action Needed,0.091,No,2024-02-13 05:46:04
IMG-800057,TKT-100438,PROD-1878,product_image_00057.jpg,Yes,Dent,No,Yes,,0.682,Approve Partial Refund,0.027,Yes,2024-01-08 04:15:05
IMG-800058,TKT-101807,PROD-1790,product_image_00058.jpg,Yes,Water Damage,No,No,Max Capacity: 5TB,0.69,Approve Partial Refund,0.161,Yes,2024-06-05 02:05:43
IMG-800059,TKT-101653,PROD-1652,product_image_00059.jpg,No,,No,No,Serial: SN-2024-001,0.71,No Action Needed,0.078,Yes,2024-06-25 23:04:02
IMG-800060,TKT-101349,PROD-1652,product_image_00060.jpg,No,,No,No,Made in China,0.766,No Action Needed,0.094,No,2024-02-06 12:26:51
IMG-800061,TKT-100956,PROD-1739,product_image_00061.jpg,No,,No,No,Serial: SN-2024-001,0.685,No Action Needed,0.091,Yes,2024-03-02 11:32:35
IMG-800062,TKT-100124,PROD-1652,product_image_00062.jpg,No,,No,No,,0.782,No Action Needed,0.011,No,2024-05-26 10:15:39
IMG-800063,TKT-101639,PROD-1522,product_image_00063.jpg,No,,No,No,MFG: 2024-01,0.814,No Action Needed,0.054,No,2024-05-23 03:05:30
IMG-800064,TKT-101098,PROD-1711,product_image_00064.jpg,No,,No,No,Warranty: 12 months,0.689,No Action Needed,0.094,Yes,2024-06-15 02:35:48
IMG-800065,TKT-100570,PROD-1711,product_image_00065.jpg,No,,No,No,Serial: SN-2024-001,0.979,No Action Needed,0.072,No,2024-05-24 21:24:12
IMG-800066,TKT-100907,PROD-1878,product_image_00066.jpg,No,,No,No,Input: 110-240V,0.785,No Action Needed,0.09,No,2024-01-05 15:11:33
IMG-800067,TKT-101712,PROD-1739,product_image_00067.jpg,No,,No,No,,0.926,No Action Needed,0.095,No,2024-02-14 09:58:29
IMG-800068,TKT-101897,PROD-1816,product_image_00068.jpg,No,,No,No,Max Capacity: 5TB,0.89,No Action Needed,0.032,No,2024-01-19 04:18:05
IMG-800069,TKT-100985,PROD-1816,product_image_00069.jpg,No,,Yes,No,,0.669,Approve Replacement,0.021,Yes,2024-03-01 07:04:30
IMG-800070,TKT-101848,PROD-1739,product_image_00070.jpg,No,,No,No,Model: NP-5000X,0.977,No Action Needed,0.044,No,2024-04-22 06:39:20
IMG-800071,TKT-100799,PROD-1423,product_image_00071.jpg,No,,No,No,,0.654,No Action Needed,0.097,Yes,2024-03-01 05:42:39
IMG-800072,TKT-101607,PROD-1711,product_image_00072.jpg,No,,No,No,Input: 110-240V,0.838,No Action Needed,0.097,No,2024-05-25 19:55:26
IMG-800073,TKT-101355,PROD-1711,product_image_00073.jpg,No,,No,No,WARNING: Do not expose to moisture,0.863,No Action Needed,0.063,No,2024-05-23 11:30:30
IMG-800074,TKT-100445,PROD-1739,product_image_00074.jpg,Yes,Water Damage,No,No,,0.953,Approve Replacement,0.159,Yes,2024-01-08 02:35:37
IMG-800075,TKT-100124,PROD-1232,product_image_00075.jpg,No,,No,No,Component: Active Directory,0.848,No Action Needed,0.017,No,2024-02-10 01:20:35
IMG-800076,TKT-100976,PROD-1878,product_image_00076.jpg,No,,No,No,,0.755,No Action Needed,0.083,No,2024-06-05 07:38:52
IMG-800077,TKT-101087,PROD-1057,product_image_00077.jpg,No,,No,No,Input: 110-240V,0.897,No Action Needed,0.065,No,2024-01-10 23:33:11
IMG-800078,TKT-100164,PROD-1057,product_image_00078.jpg,No,,No,No,Serial: SN-2024-001,0.79,No Action Needed,0.08,No,2024-05-25 02:20:15
IMG-800079,TKT-101382,PROD-1816,product_image_00079.jpg,No,,No,No,Component: Active Directory,0.784,No Action Needed,0.085,No,2024-06-25 12:55:40
IMG-800080,TKT-100504,PROD-1790,product_image_00080.jpg,Yes,Water Damage,Yes,No,Serial: SN-2024-001,0.655,Approve Replacement,0.176,Yes,2024-04-04 02:44:20
IMG-800081,TKT-100858,PROD-1790,product_image_00081.jpg,No,,No,No,Part Number: PN-88421,0.971,No Action Needed,0.086,No,2024-05-24 15:39:57
IMG-800082,TKT-101914,PROD-1423,product_image_00082.jpg,No,,No,No,Part Number: PN-88421,0.72,No Action Needed,0.089,Yes,2024-02-01 10:03:07
IMG-800083,TKT-100488,PROD-1423,product_image_00083.jpg,No,,Yes,No,WARNING: Do not expose to moisture,0.812,Approve Replacement,0.085,No,2024-02-19 10:18:51
IMG-800084,TKT-100936,PROD-1232,product_image_00084.jpg,No,,No,No,,0.919,No Action Needed,0.063,No,2024-02-16 04:14:14
IMG-800085,TKT-101916,PROD-1522,product_image_00085.jpg,No,,No,No,Component: Active Directory,0.722,No Action Needed,0.022,Yes,2024-02-07 15:23:13
IMG-800086,TKT-101153,PROD-1522,product_image_00086.jpg,No,,No,No,MFG: 2024-01,0.897,No Action Needed,0.059,No,2024-03-19 19:29:33
IMG-800087,TKT-101036,PROD-1423,product_image_00087.jpg,No,,No,No,Part Number: PN-88421,0.7,No Action Needed,0.093,Yes,2024-03-14 05:32:43
IMG-800088,TKT-101804,PROD-1522,product_image_00088.jpg,Yes,Missing Component,Yes,No,Warranty: 12 months,0.768,Approve Replacement,0.149,No,2024-04-24 01:44:14
IMG-800089,TKT-100897,PROD-1878,product_image_00089.jpg,No,,No,No,,0.697,No Action Needed,0.068,Yes,2024-04-13 11:27:20
IMG-800090,TKT-101252,PROD-1878,product_image_00090.jpg,No,,No,No,Input: 110-240V,0.709,No Action Needed,0.027,Yes,2024-05-26 15:51:48
IMG-800091,TKT-100613,PROD-1522,product_image_00091.jpg,No,,No,No,,0.68,No Action Needed,0.021,Yes,2024-01-12 05:12:57
IMG-800092,TKT-100275,PROD-1423,product_image_00092.jpg,No,,No,No,Serial: SN-2024-001,0.759,No Action Needed,0.018,No,2024-02-16 01:27:20
IMG-800093,TKT-101520,PROD-1878,product_image_00093.jpg,No,,No,No,WARNING: Do not expose to moisture,0.778,No Action Needed,0.01,No,2024-02-05 21:58:24
IMG-800094,TKT-101238,PROD-1816,product_image_00094.jpg,Yes,Burn Mark,No,No,WARNING: Do not expose to moisture,0.832,Approve Partial Refund,0.067,No,2024-01-28 20:28:06
IMG-800095,TKT-101035,PROD-1711,product_image_00095.jpg,No,,No,No,Model: NP-5000X,0.7,No Action Needed,0.022,Yes,2024-01-03 05:00:30
IMG-800096,TKT-100189,PROD-1652,product_image_00096.jpg,No,,No,Yes,,0.945,Approve Replacement,0.042,No,2024-04-24 09:57:34
IMG-800097,TKT-100090,PROD-1739,product_image_00097.jpg,Yes,Burn Mark,No,No,,0.842,Approve Partial Refund,0.031,No,2024-05-05 13:18:35
IMG-800098,TKT-101304,PROD-1423,product_image_00098.jpg,No,,No,No,Max Capacity: 5TB,0.771,No Action Needed,0.068,No,2024-05-25 07:25:34
IMG-800099,TKT-101129,PROD-1652,product_image_00099.jpg,No,,No,No,Serial: SN-2024-001,0.849,No Action Needed,0.061,No,2024-02-11 16:40:04
IMG-800100,TKT-100154,PROD-1057,product_image_00100.jpg,No,,No,No,Part Number: PN-88421,0.771,No Action Needed,0.099,No,2024-04-30 16:17:36
IMG-800101,TKT-101192,PROD-1878,product_image_00101.jpg,Yes,Dent,No,No,Model: NP-5000X,0.816,Approve Partial Refund,0.031,No,2024-04-03 03:51:58
IMG-800102,TKT-100631,PROD-1232,product_image_00102.jpg,Yes,Scratches,No,No,,0.656,Approve Partial Refund,0.249,Yes,2024-01-06 11:30:27
IMG-800103,TKT-100430,PROD-1816,product_image_00103.jpg,No,,No,No,Part Number: PN-88421,0.738,No Action Needed,0.025,Yes,2024-06-27 14:50:41
IMG-800104,TKT-101597,PROD-1878,product_image_00104.jpg,No,,No,No,,0.912,No Action Needed,0.027,No,2024-04-27 17:52:03
IMG-800105,TKT-100832,PROD-1790,product_image_00105.jpg,No,,No,No,,0.689,No Action Needed,0.065,Yes,2024-03-04 11:48:53
IMG-800106,TKT-101895,PROD-1816,product_image_00106.jpg,No,,No,No,,0.831,No Action Needed,0.015,No,2024-06-26 16:29:43
IMG-800107,TKT-101999,PROD-1057,product_image_00107.jpg,No,,Yes,No,,0.76,Approve Replacement,0.083,No,2024-03-05 00:22:22
IMG-800108,TKT-100050,PROD-1057,product_image_00108.jpg,No,,No,No,,0.81,No Action Needed,0.047,No,2024-04-03 11:41:18
IMG-800109,TKT-100680,PROD-1652,product_image_00109.jpg,No,,No,No,,0.692,No Action Needed,0.076,Yes,2024-05-16 18:10:41
IMG-800110,TKT-101769,PROD-1816,product_image_00110.jpg,No,,Yes,No,Serial: SN-2024-001,0.845,Approve Replacement,0.086,No,2024-03-12 11:37:12
IMG-800111,TKT-100783,PROD-1739,product_image_00111.jpg,No,,No,No,,0.713,No Action Needed,0.031,Yes,2024-03-18 05:43:31
IMG-800112,TKT-100455,PROD-1816,product_image_00112.jpg,No,,No,No,,0.804,No Action Needed,0.074,No,2024-02-01 03:19:14
IMG-800113,TKT-100942,PROD-1232,product_image_00113.jpg,No,,No,No,MFG: 2024-01,0.846,No Action Needed,0.042,No,2024-02-22 10:07:35
IMG-800114,TKT-100456,PROD-1739,product_image_00114.jpg,No,,No,No,Made in China,0.763,No Action Needed,0.076,No,2024-02-11 15:46:59
IMG-800115,TKT-100672,PROD-1423,product_image_00115.jpg,No,,No,No,,0.954,No Action Needed,0.081,No,2024-02-07 18:30:56
IMG-800116,TKT-101980,PROD-1423,product_image_00116.jpg,No,,No,No,Input: 110-240V,0.72,No Action Needed,0.074,Yes,2024-01-05 12:11:12
IMG-800117,TKT-100818,PROD-1878,product_image_00117.jpg,Yes,Burn Mark,No,No,,0.805,Approve Partial Refund,0.131,No,2024-05-15 17:59:32
IMG-800118,TKT-100236,PROD-1423,product_image_00118.jpg,No,,No,No,WARNING: Do not expose to moisture,0.654,No Action Needed,0.064,Yes,2024-06-12 19:48:35
IMG-800119,TKT-100078,PROD-1522,product_image_00119.jpg,No,,No,No,Part Number: PN-88421,0.786,No Action Needed,0.052,No,2024-02-15 00:40:43
IMG-800120,TKT-101492,PROD-1232,product_image_00120.jpg,No,,No,No,Input: 110-240V,0.737,No Action Needed,0.075,Yes,2024-06-19 23:44:11
IMG-800121,TKT-100236,PROD-1652,product_image_00121.jpg,Yes,Water Damage,No,No,Model: NP-5000X,0.658,Approve Partial Refund,0.195,Yes,2024-01-31 15:19:36
IMG-800122,TKT-101451,PROD-1652,product_image_00122.jpg,No,,No,No,Input: 110-240V,0.965,No Action Needed,0.051,No,2024-02-15 06:08:36
IMG-800123,TKT-101406,PROD-1816,product_image_00123.jpg,No,,No,No,Serial: SN-2024-001,0.963,No Action Needed,0.088,No,2024-02-24 10:54:42
IMG-800124,TKT-101943,PROD-1232,product_image_00124.jpg,No,,No,No,Serial: SN-2024-001,0.764,No Action Needed,0.082,No,2024-04-26 03:40:24
IMG-800125,TKT-101474,PROD-1423,product_image_00125.jpg,Yes,Crack,No,No,Made in China,0.964,Approve Replacement,0.125,No,2024-03-31 10:06:08
IMG-800126,TKT-100668,PROD-1652,product_image_00126.jpg,No,,Yes,No,Input: 110-240V,0.734,Approve Replacement,0.062,Yes,2024-06-28 12:42:45
IMG-800127,TKT-100260,PROD-1816,product_image_00127.jpg,Yes,Rust,No,No,Made in China,0.744,Approve Replacement,0.061,Yes,2024-02-18 19:34:40
IMG-800128,TKT-101387,PROD-1057,product_image_00128.jpg,No,,No,No,WARNING: Do not expose to moisture,0.679,No Action Needed,0.1,Yes,2024-02-18 05:46:46
IMG-800129,TKT-100831,PROD-1878,product_image_00129.jpg,No,,Yes,No,,0.721,Approve Replacement,0.091,Yes,2024-02-01 00:45:17
IMG-800130,TKT-100622,PROD-1423,product_image_00130.jpg,No,,Yes,No,Component: Active Directory,0.842,Approve Replacement,0.016,No,2024-03-18 10:37:38
IMG-800131,TKT-101242,PROD-1232,product_image_00131.jpg,No,,No,No,Max Capacity: 5TB,0.786,No Action Needed,0.06,No,2024-03-03 18:05:55
IMG-800132,TKT-101383,PROD-1816,product_image_00132.jpg,No,,No,No,Warranty: 12 months,0.777,No Action Needed,0.034,No,2024-04-19 14:36:43
IMG-800133,TKT-101349,PROD-1522,product_image_00133.jpg,No,,No,No,Component: Active Directory,0.945,No Action Needed,0.047,No,2024-02-26 21:15:34
IMG-800134,TKT-100686,PROD-1522,product_image_00134.jpg,No,,No,No,,0.852,No Action Needed,0.041,No,2024-03-07 11:06:26
IMG-800135,TKT-101538,PROD-1816,product_image_00135.jpg,No,,No,No,MFG: 2024-01,0.733,No Action Needed,0.075,Yes,2024-04-29 23:27:38
IMG-800136,TKT-101651,PROD-1816,product_image_00136.jpg,No,,No,No,Model: NP-5000X,0.788,No Action Needed,0.039,No,2024-01-07 01:13:45
IMG-800137,TKT-100501,PROD-1711,product_image_00137.jpg,Yes,Water Damage,No,Yes,,0.712,Approve Replacement,0.111,Yes,2024-01-02 11:54:40
IMG-800138,TKT-100149,PROD-1711,product_image_00138.jpg,No,,No,No,Component: Active Directory,0.779,No Action Needed,0.063,No,2024-05-19 04:03:16
IMG-800139,TKT-100398,PROD-1652,product_image_00139.jpg,No,,No,No,MFG: 2024-01,0.943,No Action Needed,0.03,No,2024-03-26 04:56:11
IMG-800140,TKT-100302,PROD-1739,product_image_00140.jpg,No,,No,No,,0.954,No Action Needed,0.082,No,2024-04-23 09:59:14
IMG-800141,TKT-101762,PROD-1522,product_image_00141.jpg,No,,No,No,,0.787,No Action Needed,0.03,No,2024-01-22 14:21:33
IMG-800142,TKT-100448,PROD-1057,product_image_00142.jpg,No,,No,No,,0.743,No Action Needed,0.012,Yes,2024-05-25 17:01:08
IMG-800143,TKT-101425,PROD-1878,product_image_00143.jpg,No,,No,No,Input: 110-240V,0.788,No Action Needed,0.055,No,2024-03-16 00:27:02
IMG-800144,TKT-100510,PROD-1522,product_image_00144.jpg,Yes,Paint Chipping,No,No,Max Capacity: 5TB,0.741,Approve Partial Refund,0.07,Yes,2024-02-22 20:36:22
IMG-800145,TKT-101367,PROD-1878,product_image_00145.jpg,No,,No,No,,0.912,No Action Needed,0.048,No,2024-05-09 10:45:09
IMG-800146,TKT-101219,PROD-1232,product_image_00146.jpg,No,,No,No,,0.733,No Action Needed,0.045,Yes,2024-02-09 20:05:55
IMG-800147,TKT-101825,PROD-1711,product_image_00147.jpg,No,,No,No,Input: 110-240V,0.812,No Action Needed,0.07,No,2024-05-29 06:03:12
IMG-800148,TKT-100873,PROD-1878,product_image_00148.jpg,No,,No,No,Warranty: 12 months,0.936,No Action Needed,0.086,No,2024-04-18 10:48:10
IMG-800149,TKT-101523,PROD-1711,product_image_00149.jpg,No,,No,No,MFG: 2024-01,0.676,No Action Needed,0.076,Yes,2024-03-01 20:44:26
IMG-800150,TKT-101720,PROD-1423,product_image_00150.jpg,No,,No,No,,0.676,No Action Needed,0.01,Yes,2024-06-27 23:44:29
IMG-800151,TKT-101067,PROD-1711,product_image_00151.jpg,Yes,Missing Component,No,No,Serial: SN-2024-001,0.925,Approve Partial Refund,0.2,Yes,2024-02-26 15:52:14
IMG-800152,TKT-101461,PROD-1423,product_image_00152.jpg,Yes,Missing Component,No,No,Part Number: PN-88421,0.867,Approve Partial Refund,0.184,Yes,2024-01-25 15:29:21
IMG-800153,TKT-101828,PROD-1878,product_image_00153.jpg,No,,No,No,Warranty: 12 months,0.971,No Action Needed,0.014,No,2024-01-10 08:15:11
IMG-800154,TKT-100473,PROD-1652,product_image_00154.jpg,No,,No,No,MFG: 2024-01,0.961,No Action Needed,0.013,No,2024-04-26 06:41:10
IMG-800155,TKT-100131,PROD-1652,product_image_00155.jpg,No,,No,No,Input: 110-240V,0.971,No Action Needed,0.053,No,2024-04-25 07:05:10
IMG-800156,TKT-100954,PROD-1652,product_image_00156.jpg,No,,No,No,Made in China,0.871,No Action Needed,0.043,No,2024-04-17 15:52:12
IMG-800157,TKT-100797,PROD-1790,product_image_00157.jpg,Yes,Scratches,No,No,,0.896,Approve Replacement,0.086,No,2024-01-04 15:10:20
IMG-800158,TKT-101567,PROD-1790,product_image_00158.jpg,No,,No,No,Model: NP-5000X,0.795,No Action Needed,0.089,No,2024-02-24 14:33:13
IMG-800159,TKT-101930,PROD-1232,product_image_00159.jpg,No,,Yes,No,Made in China,0.781,Approve Replacement,0.094,No,2024-05-02 11:06:14
IMG-800160,TKT-101747,PROD-1652,product_image_00160.jpg,Yes,Crack,Yes,No,,0.663,Approve Replacement,0.149,Yes,2024-04-30 13:54:32
IMG-800161,TKT-101118,PROD-1790,product_image_00161.jpg,No,,No,No,,0.651,No Action Needed,0.052,Yes,2024-04-29 09:00:13
IMG-800162,TKT-100999,PROD-1816,product_image_00162.jpg,No,,No,No,Max Capacity: 5TB,0.744,No Action Needed,0.092,Yes,2024-03-13 01:14:54
IMG-800163,TKT-100059,PROD-1652,product_image_00163.jpg,No,,No,No,Made in China,0.973,No Action Needed,0.081,No,2024-06-19 10:26:13
IMG-800164,TKT-101483,PROD-1057,product_image_00164.jpg,No,,No,No,,0.957,No Action Needed,0.099,No,2024-02-21 17:16:51
IMG-800165,TKT-101883,PROD-1057,product_image_00165.jpg,No,,No,No,,0.857,No Action Needed,0.056,No,2024-03-14 11:07:22
IMG-800166,TKT-101093,PROD-1739,product_image_00166.jpg,No,,No,No,,0.915,No Action Needed,0.042,No,2024-01-05 20:29:41
IMG-800167,TKT-101212,PROD-1790,product_image_00167.jpg,No,,No,No,Serial: SN-2024-001,0.988,No Action Needed,0.026,No,2024-06-11 07:03:45
IMG-800168,TKT-101316,PROD-1652,product_image_00168.jpg,No,,No,No,Max Capacity: 5TB,0.726,No Action Needed,0.03,Yes,2024-03-29 16:35:20
IMG-800169,TKT-100372,PROD-1739,product_image_00169.jpg,No,,No,No,Part Number: PN-88421,0.783,No Action Needed,0.035,No,2024-01-29 18:06:00
IMG-800170,TKT-100433,PROD-1711,product_image_00170.jpg,Yes,Burn Mark,No,Yes,Made in China,0.762,Approve Partial Refund,0.186,Yes,2024-05-03 09:22:22
IMG-800171,TKT-100569,PROD-1652,product_image_00171.jpg,Yes,Shattered Glass,No,Yes,,0.831,Approve Refund,0.241,Yes,2024-06-24 00:50:20
IMG-800172,TKT-100963,PROD-1739,product_image_00172.jpg,No,,No,No,,0.95,No Action Needed,0.056,No,2024-04-24 05:18:49
IMG-800173,TKT-100106,PROD-1232,product_image_00173.jpg,No,,No,No,Serial: SN-2024-001,0.944,No Action Needed,0.076,No,2024-05-26 05:27:03
IMG-800174,TKT-101599,PROD-1739,product_image_00174.jpg,No,,No,No,,0.764,No Action Needed,0.031,No,2024-06-18 23:56:46
