sla_event_id,ticket_id,assigned_team,severity,sla_target_hours,first_response_time,resolution_time,breach_risk_score,breached,escalation_triggered,workload_score,agent_utilization,queue_size,region,business_unit,manager_name,support_shift,incident_type,operational_risk,created_date
SLA-500052,TKT-100073,Network-Operations,Low,48,956,2978,103.4,Yes,Yes,87.44,74.43,2,Europe,Startup,Manager_B,Morning,Security,Critical,2024-03-14
SLA-500053,TKT-100746,Tier1-Support,Low,48,284,2684,93.19,No,Yes,45.02,60.75,36,Asia-Pacific,Mid-Market,Manager_F,Afternoon,Configuration,Medium,2024-03-30
SLA-500054,TKT-100210,Network-Operations,Low,48,969,1865,64.76,No,No,53.84,54.34,8,LATAM,Mid-Market,Manager_B,Afternoon,Performance,Low,2024-04-23
SLA-500055,TKT-101805,Infrastructure,Medium,24,412,1519,105.49,Yes,Yes,81.45,84.19,37,North America,Mid-Market,Manager_F,Evening,Data Loss,Low,2024-05-31
SLA-500056,TKT-101642,Billing-Team,High,8,176,158,32.92,No,No,58.88,60.46,40,Asia-Pacific,Mid-Market,Manager_F,Morning,Data Loss,Medium,2024-05-30
SLA-500057,TKT-101786,Tier1-Support,Critical,4,36,297,123.75,Yes,Yes,60.03,81.3,26,LATAM,Mid-Market,Manager_B,Night,Security,Low,2024-01-30
SLA-500058,TKT-100625,Billing-Team,Critical,4,61,113,47.08,No,No,87.85,57.6,20,Europe,Enterprise,Manager_F,Afternoon,Data Loss,Medium,2024-05-19
SLA-500059,TKT-100672,Security-Team,Critical,4,18,105,43.75,No,No,54.84,92.62,32,North America,SMB,Manager_C,Night,Configuration,Critical,2024-03-23
SLA-500060,TKT-101727,Network-Operations,Medium,24,143,1004,69.72,No,No,36.42,73.13,22,North America,Enterprise,Manager_C,Afternoon,Integration,High,2024-05-30
SLA-500061,TKT-101971,Security-Team,High,8,38,168,35.0,No,No,95.17,93.58,15,North America,Enterprise,Manager_E,Night,Security,Medium,2024-05-12
SLA-500062,TKT-101492,Network-Operations,High,8,220,294,61.25,No,No,79.41,93.28,10,LATAM,Enterprise,Manager_D,Afternoon,Security,High,2024-05-24
SLA-500063,TKT-100090,Infrastructure,Low,48,1197,1916,66.53,No,No,45.58,61.82,28,North America,Mid-Market,Manager_C,Night,Service Down,High,2024-01-05
SLA-500064,TKT-101943,Network-Operations,Medium,24,421,458,31.81,No,No,70.69,87.47,23,Asia-Pacific,Enterprise,Manager_F,Evening,Integration,High,2024-03-11
SLA-500065,TKT-100633,Infrastructure,Critical,4,3,321,133.75,Yes,Yes,56.34,44.59,40,Asia-Pacific,Startup,Manager_F,Evening,Integration,Medium,2024-03-30
SLA-500066,TKT-100260,Billing-Team,Low,48,1149,412,14.31,No,No,30.79,65.78,21,LATAM,Startup,Manager_F,Afternoon,Integration,Low,2024-03-01
SLA-500067,TKT-101165,Security-Team,High,8,0,446,92.92,No,Yes,70.84,92.92,26,LATAM,Enterprise,Manager_C,Evening,Performance,High,2024-06-14
SLA-500068,TKT-100880,Network-Operations,Medium,24,57,1699,117.99,Yes,Yes,98.45,70.58,22,LATAM,Startup,Manager_D,Afternoon,Integration,Low,2024-06-12
SLA-500069,TKT-100969,Tier3-Engineering,Medium,24,531,1584,110.0,Yes,Yes,66.62,74.62,15,North America,SMB,Manager_E,Evening,Service Down,Low,2024-01-01
SLA-500070,TKT-101676,Billing-Team,Medium,24,258,775,53.82,No,No,81.6,90.34,11,Asia-Pacific,Mid-Market,Manager_B,Afternoon,Service Down,Critical,2024-04-11
SLA-500071,TKT-100094,Billing-Team,Medium,24,372,1151,79.93,No,No,41.88,75.58,9,LATAM,Enterprise,Manager_D,Night,Configuration,Medium,2024-06-26
SLA-500072,TKT-101178,Billing-Team,Low,48,868,280,9.72,No,No,48.2,64.93,18,LATAM,Startup,Manager_D,Afternoon,Performance,Low,2024-06-05
SLA-500073,TKT-101343,Tier1-Support,Low,48,389,1857,64.48,No,No,59.16,71.96,26,North America,Startup,Manager_B,Afternoon,Configuration,Medium,2024-02-25
SLA-500074,TKT-101060,Cloud-Support,High,8,250,64,13.33,No,No,31.85,60.71,2,North America,Mid-Market,Manager_A,Night,Performance,Medium,2024-06-25
SLA-500075,TKT-101641,Cloud-Support,Medium,24,281,182,12.64,No,No,57.51,85.6,14,Asia-Pacific,Startup,Manager_E,Night,Integration,Low,2024-04-14
SLA-500076,TKT-100913,Tier3-Engineering,Medium,24,384,524,36.39,No,No,33.95,87.56,18,LATAM,Startup,Manager_C,Afternoon,Configuration,Medium,2024-05-12
SLA-500077,TKT-100567,Cloud-Support,Critical,4,52,52,21.67,No,No,83.83,91.96,11,Europe,SMB,Manager_D,Morning,Configuration,Medium,2024-03-25
SLA-500078,TKT-100585,Billing-Team,Medium,24,0,170,11.81,No,No,49.23,51.4,2,Asia-Pacific,SMB,Manager_C,Morning,Performance,High,2024-02-01
SLA-500079,TKT-100308,Billing-Team,Low,48,94,3383,117.47,Yes,Yes,31.55,67.4,4,LATAM,Mid-Market,Manager_F,Afternoon,Service Down,Medium,2024-01-12
SLA-500080,TKT-100849,Infrastructure,High,8,235,448,93.33,No,Yes,36.19,83.55,18,Asia-Pacific,Startup,Manager_D,Morning,Performance,Low,2024-02-16
SLA-500081,TKT-101705,Infrastructure,Medium,24,228,972,67.5,No,No,74.76,84.28,40,LATAM,Enterprise,Manager_E,Night,Data Loss,Low,2024-02-07
SLA-500082,TKT-100012,Network-Operations,Medium,24,334,978,67.92,No,No,36.37,79.95,39,Asia-Pacific,Startup,Manager_D,Afternoon,Data Loss,Medium,2024-03-19
SLA-500083,TKT-100449,Security-Team,Medium,24,105,1706,118.47,Yes,Yes,78.83,83.81,11,LATAM,Startup,Manager_A,Night,Security,Critical,2024-03-14
SLA-500084,TKT-101369,Infrastructure,High,8,68,605,126.04,Yes,Yes,73.46,59.11,44,Europe,Startup,Manager_B,Morning,Data Loss,Medium,2024-04-24
SLA-500085,TKT-101212,Tier1-Support,Medium,24,182,967,67.15,No,No,40.63,47.64,9,North America,Startup,Manager_B,Night,Performance,Low,2024-05-11
SLA-500086,TKT-100102,Security-Team,Low,48,666,332,11.53,No,No,98.12,73.11,20,LATAM,SMB,Manager_B,Night,Security,High,2024-04-01
SLA-500087,TKT-100691,Infrastructure,Low,48,533,1668,57.92,No,No,68.41,69.39,13,Asia-Pacific,Startup,Manager_C,Morning,Data Loss,Low,2024-02-03
SLA-500088,TKT-100039,Tier1-Support,Low,48,1096,3081,106.98,Yes,Yes,85.96,74.53,31,Asia-Pacific,Mid-Market,Manager_F,Morning,Configuration,Low,2024-02-17
SLA-500089,TKT-100082,Tier1-Support,Low,48,1049,3091,107.33,Yes,Yes,86.43,81.15,16,Europe,Mid-Market,Manager_A,Afternoon,Performance,Medium,2024-02-25
SLA-500090,TKT-100258,Cloud-Support,Medium,24,473,147,10.21,No,No,55.82,65.44,27,North America,Mid-Market,Manager_D,Evening,Security,Low,2024-02-25
SLA-500091,TKT-100343,Tier2-Technical,Low,48,1026,1886,65.49,No,No,89.11,81.23,19,Europe,SMB,Manager_A,Morning,Security,Medium,2024-04-24
SLA-500092,TKT-101179,Infrastructure,Low,48,484,2315,80.38,No,Yes,31.4,57.71,40,LATAM,Mid-Market,Manager_A,Afternoon,Service Down,Low,2024-05-05
SLA-500093,TKT-101427,Security-Team,Low,48,144,3523,122.33,Yes,Yes,63.18,59.53,42,North America,Enterprise,Manager_C,Night,Configuration,Medium,2024-04-20
SLA-500094,TKT-100758,Tier2-Technical,Medium,24,469,153,10.62,No,No,69.04,72.26,20,Asia-Pacific,Enterprise,Manager_D,Night,Service Down,Medium,2024-04-10
SLA-500095,TKT-100887,Network-Operations,Medium,24,281,1463,101.6,Yes,Yes,69.95,59.59,7,LATAM,Mid-Market,Manager_D,Afternoon,Configuration,Medium,2024-02-02
SLA-500096,TKT-101068,Security-Team,Low,48,276,1973,68.51,No,No,55.57,66.83,31,LATAM,Startup,Manager_D,Evening,Security,Low,2024-03-02
SLA-500097,TKT-101744,Billing-Team,High,8,151,196,40.83,No,No,35.62,68.85,41,North America,SMB,Manager_D,Afternoon,Data Loss,High,2024-05-31
SLA-500098,TKT-101167,Infrastructure,Low,48,467,1995,69.27,No,No,94.22,40.29,31,Asia-Pacific,Enterprise,Manager_D,Evening,Performance,Low,2024-06-27
SLA-500099,TKT-100998,Billing-Team,High,8,193,774,161.25,Yes,Yes,70.01,55.4,6,Asia-Pacific,SMB,Manager_C,Evening,Integration,Low,2024-04-27
SLA-500100,TKT-101436,Security-Team,High,8,211,284,59.17,No,No,81.54,69.14,2,North America,Mid-Market,Manager_A,Afternoon,Configuration,Medium,2024-03-04
SLA-500101,TKT-100832,Cloud-Support,Low,48,138,3132,108.75,Yes,Yes,67.28,42.85,11,Europe,Startup,Manager_F,Night,Data Loss,Medium,2024-05-17
SLA-500102,TKT-101623,Tier1-Support,Critical,4,12,197,82.08,No,Yes,86.69,54.01,38,North America,SMB,Manager_B,Night,Configuration,Low,2024-01-09
SLA-500103,TKT-100498,Security-Team,Medium,24,549,1562,108.47,Yes,Yes,54.42,91.12,15,Asia-Pacific,Startup,Manager_E,Evening,Data Loss,Critical,2024-05-16
SLA-500104,TKT-101527,Network-Operations,Low,48,512,1559,54.13,No,No,80.51,42.65,30,Asia-Pacific,Startup,Manager_C,Evening,Security,Low,2024-04-14
SLA-500105,TKT-100472,Tier2-Technical,High,8,285,350,72.92,No,No,41.5,84.8,15,Europe,SMB,Manager_A,Afternoon,Performance,Medium,2024-05-11
SLA-500106,TKT-100443,Cloud-Support,Low,48,1065,2376,82.5,No,Yes,77.81,64.86,41,Asia-Pacific,SMB,Manager_A,Afternoon,Security,Medium,2024-06-27
SLA-500107,TKT-100465,Network-Operations,Medium,24,22,694,48.19,No,No,65.19,52.77,34,Europe,SMB,Manager_A,Afternoon,Security,Medium,2024-02-22
SLA-500108,TKT-100093,Tier1-Support,Critical,4,50,68,28.33,No,No,38.18,91.69,8,Asia-Pacific,Mid-Market,Manager_F,Night,Service Down,High,2024-02-11
SLA-500109,TKT-101787,Tier1-Support,Low,48,1038,1886,65.49,No,No,73.41,69.34,40,Asia-Pacific,Startup,Manager_D,Night,Security,Medium,2024-06-05
SLA-500110,TKT-100377,Tier1-Support,Low,48,1120,3308,114.86,Yes,Yes,47.39,80.92,5,Asia-Pacific,Startup,Manager_A,Morning,Data Loss,Medium,2024-01-10
SLA-500111,TKT-101007,Tier2-Technical,Medium,24,117,925,64.24,No,No,67.55,60.84,25,North America,Mid-Market,Manager_B,Evening,Service Down,Medium,2024-01-15
SLA-500112,TKT-100508,Tier2-Technical,High,8,260,216,45.0,No,No,46.05,79.72,3,LATAM,Mid-Market,Manager_E,Night,Data Loss,Low,2024-04-24
SLA-500113,TKT-101860,Cloud-Support,Medium,24,291,913,63.4,No,No,47.63,59.01,12,Asia-Pacific,Startup,Manager_C,Morning,Integration,Critical,2024-04-13
SLA-500114,TKT-101966,Tier2-Technical,Medium,24,22,934,64.86,No,No,50.16,73.82,27,Europe,Mid-Market,Manager_C,Morning,Performance,Medium,2024-04-20
SLA-500115,TKT-100491,Tier3-Engineering,High,8,170,519,108.12,Yes,Yes,37.15,90.53,6,North America,Mid-Market,Manager_A,Night,Data Loss,Critical,2024-03-12
SLA-500116,TKT-101411,Cloud-Support,Medium,24,377,1133,78.68,No,No,35.41,45.73,42,Asia-Pacific,Enterprise,Manager_B,Evening,Configuration,Critical,2024-05-30
SLA-500117,TKT-100579,Cloud-Support,Low,48,419,1445,50.17,No,No,88.62,58.27,41,North America,Mid-Market,Manager_C,Afternoon,Data Loss,Medium,2024-06-23
SLA-500118,TKT-100235,Billing-Team,Low,48,1160,441,15.31,No,No,86.2,40.25,42,Europe,SMB,Manager_B,Morning,Service Down,Low,2024-01-25
SLA-500119,TKT-100339,Security-Team,High,8,293,445,92.71,No,Yes,62.6,66.45,28,Asia-Pacific,Startup,Manager_A,Night,Configuration,Medium,2024-06-19
SLA-500120,TKT-100622,Infrastructure,Low,48,762,1442,50.07,No,No,47.38,71.77,7,Asia-Pacific,Startup,Manager_D,Morning,Integration,Low,2024-06-09
SLA-500121,TKT-100081,Infrastructure,Medium,24,62,1122,77.92,No,No,74.26,40.72,22,Asia-Pacific,SMB,Manager_A,Morning,Performance,Medium,2024-03-21
SLA-500122,TKT-101969,Tier1-Support,Critical,4,48,177,73.75,No,No,59.02,44.69,41,Asia-Pacific,Enterprise,Manager_B,Night,Integration,Medium,2024-01-01
SLA-500123,TKT-101334,Cloud-Support,Low,48,989,2502,86.88,No,Yes,59.88,83.99,33,Asia-Pacific,Mid-Market,Manager_E,Night,Configuration,Medium,2024-02-18
SLA-500124,TKT-101667,Cloud-Support,Low,48,285,3455,119.97,Yes,Yes,69.54,43.61,15,North America,Startup,Manager_C,Night,Security,High,2024-04-22
SLA-500125,TKT-100657,Tier2-Technical,Medium,24,263,1044,72.5,No,No,35.29,81.43,11,Europe,SMB,Manager_D,Night,Security,Low,2024-04-19
SLA-500126,TKT-101356,Infrastructure,Medium,24,86,174,12.08,No,No,40.93,79.38,30,North America,Startup,Manager_A,Evening,Security,Medium,2024-02-26
SLA-500127,TKT-100662,Tier2-Technical,Low,48,442,2030,70.49,No,No,31.38,45.73,38,LATAM,Enterprise,Manager_F,Night,Data Loss,Low,2024-04-06
SLA-500128,TKT-100111,Billing-Team,Medium,24,263,1561,108.4,Yes,Yes,86.37,94.38,33,Asia-Pacific,Startup,Manager_F,Night,Service Down,High,2024-05-23
SLA-500129,TKT-100416,Security-Team,Medium,24,164,301,20.9,No,No,44.35,56.12,19,Europe,SMB,Manager_D,Night,Service Down,Low,2024-01-07
SLA-500130,TKT-100059,Billing-Team,High,8,84,206,42.92,No,No,38.59,88.2,30,Europe,SMB,Manager_E,Morning,Integration,Medium,2024-01-02
SLA-500131,TKT-100835,Tier2-Technical,Critical,4,68,40,16.67,No,No,48.16,60.88,24,Europe,Enterprise,Manager_D,Morning,Configuration,Low,2024-01-20
SLA-500132,TKT-101704,Tier3-Engineering,Medium,24,255,1024,71.11,No,No,60.53,56.2,23,LATAM,SMB,Manager_E,Evening,Data Loss,High,2024-03-21
SLA-500133,TKT-101709,Cloud-Support,High,8,119,118,24.58,No,No,92.62,83.99,18,LATAM,Mid-Market,Manager_D,Afternoon,Data Loss,Medium,2024-01-14
SLA-500134,TKT-100390,Tier3-Engineering,High,8,236,340,70.83,No,No,48.05,47.66,44,North America,SMB,Manager_D,Evening,Integration,Medium,2024-06-02
SLA-500135,TKT-100547,Tier1-Support,Medium,24,108,729,50.62,No,No,49.06,41.01,19,Asia-Pacific,SMB,Manager_E,Night,Performance,Medium,2024-02-11
SLA-500136,TKT-100914,Cloud-Support,Medium,24,33,1160,80.56,No,Yes,58.37,67.36,13,Asia-Pacific,SMB,Manager_E,Night,Data Loss,Low,2024-04-15
SLA-500137,TKT-101910,Network-Operations,Low,48,26,3598,124.93,Yes,Yes,91.17,72.86,13,Europe,Mid-Market,Manager_E,Night,Performance,Medium,2024-02-22
SLA-500138,TKT-101753,Infrastructure,Low,48,921,3268,113.47,Yes,Yes,56.82,68.54,3,North America,SMB,Manager_F,Night,Configuration,Low,2024-04-16
SLA-500139,TKT-101870,Infrastructure,Low,48,692,1634,56.74,No,No,47.17,61.41,41,LATAM,Mid-Market,Manager_D,Morning,Performance,Medium,2024-06-12
SLA-500140,TKT-101028,Network-Operations,High,8,294,286,59.58,No,No,96.45,61.82,25,North America,Startup,Manager_A,Night,Service Down,Critical,2024-03-09
SLA-500141,TKT-101479,Tier3-Engineering,Medium,24,547,870,60.42,No,No,48.36,72.73,44,LATAM,Mid-Market,Manager_A,Night,Security,High,2024-04-18
SLA-500142,TKT-100693,Infrastructure,Low,48,200,393,13.65,No,No,63.2,58.94,41,North America,SMB,Manager_F,Night,Security,High,2024-03-01
SLA-500143,TKT-101283,Cloud-Support,Medium,24,41,144,10.0,No,No,47.25,85.05,38,North America,Enterprise,Manager_B,Evening,Performance,Low,2024-06-27
SLA-500144,TKT-101529,Tier2-Technical,Low,48,865,2811,97.6,No,Yes,55.27,45.04,18,LATAM,Enterprise,Manager_F,Morning,Data Loss,Critical,2024-02-24
SLA-500145,TKT-100340,Security-Team,Medium,24,11,1461,101.46,Yes,Yes,97.07,81.71,32,North America,Enterprise,Manager_C,Morning,Security,High,2024-04-27
SLA-500146,TKT-100734,Network-Operations,Medium,24,199,1680,116.67,Yes,Yes,93.24,75.57,27,LATAM,Mid-Market,Manager_B,Night,Integration,Low,2024-01-26
SLA-500147,TKT-101396,Tier3-Engineering,Low,48,777,1279,44.41,No,No,94.77,49.93,22,Europe,Mid-Market,Manager_A,Night,Integration,Medium,2024-05-14
SLA-500148,TKT-101399,Billing-Team,Low,48,628,376,13.06,No,No,43.48,46.34,24,LATAM,Mid-Market,Manager_B,Night,Configuration,High,2024-04-25
SLA-500149,TKT-100520,Cloud-Support,High,8,102,332,69.17,No,No,75.51,60.06,35,Asia-Pacific,Enterprise,Manager_D,Evening,Configuration,High,2024-06-19
SLA-500150,TKT-101119,Tier3-Engineering,Low,48,182,3270,113.54,Yes,Yes,34.57,57.34,5,North America,Startup,Manager_C,Evening,Configuration,High,2024-06-01
SLA-500151,TKT-101970,Infrastructure,High,8,160,75,15.62,No,No,59.88,88.22,3,Asia-Pacific,Startup,Manager_C,Afternoon,Data Loss,Low,2024-06-18
SLA-500152,TKT-101747,Cloud-Support,Critical,4,118,298,124.17,Yes,Yes,67.03,91.65,36,North America,Mid-Market,Manager_D,Evening,Integration,Low,2024-02-15
SLA-500153,TKT-100605,Security-Team,Medium,24,476,437,30.35,No,No,63.59,74.51,11,North America,Startup,Manager_C,Morning,Integration,Low,2024-04-12
SLA-500154,TKT-101771,Tier1-Support,Medium,24,576,122,8.47,No,No,62.71,56.34,5,LATAM,SMB,Manager_B,Evening,Performance,High,2024-02-06
SLA-500155,TKT-101303,Billing-Team,Low,48,704,3236,112.36,Yes,Yes,99.14,63.53,25,Asia-Pacific,Mid-Market,Manager_F,Morning,Configuration,Low,2024-02-06
SLA-500156,TKT-101323,Tier1-Support,High,8,197,499,103.96,Yes,Yes,91.89,73.04,14,Asia-Pacific,Startup,Manager_A,Evening,Configuration,Critical,2024-02-21
SLA-500157,TKT-100269,Tier2-Technical,Low,48,884,3554,123.4,Yes,Yes,65.89,52.69,35,Asia-Pacific,SMB,Manager_F,Night,Performance,Medium,2024-06-17
SLA-500158,TKT-100411,Tier3-Engineering,Low,48,258,2151,74.69,No,No,54.51,43.18,24,Asia-Pacific,SMB,Manager_B,Evening,Data Loss,High,2024-04-08
SLA-500159,TKT-101981,Security-Team,Medium,24,572,1633,113.4,Yes,Yes,66.07,67.02,18,Asia-Pacific,Enterprise,Manager_D,Morning,Performance,Low,2024-06-08
