issue_category,issue_subcategory,question,answer,resolution_steps,automation_possible,estimated_resolution_time,required_team,risk_level,policy_reference,escalation_required
API Failure,Timeout,API Failure issue: Timeout?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,120,Tier3-Engineering,Medium,POL-027,No
VPN,Configuration,VPN issue: Configuration?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,15,Tier1-Support,Low,POL-028,Yes
Security,Access Control,Security issue: Access Control?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,120,Tier2-Technical,Low,POL-029,Yes
Account Access,Password Reset,Account Access issue: Password Reset?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,15,Tier3-Engineering,High,POL-030,Yes
Cloud Service,Configuration,Cloud Service issue: Configuration?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,10080,Tier1-Support,Critical,POL-031,Yes
Refund Request,Refund Status,Refund Request issue: Refund Status?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,30,Tier3-Engineering,Medium,POL-032,No
Security,MFA Setup,Security issue: MFA Setup?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,30,Tier2-Technical,Low,POL-033,No
Product Defect,Performance,Product Defect issue: Performance?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,480,Tier1-Support,High,POL-034,No
Product Defect,Cosmetic Damage,Product Defect issue: Cosmetic Damage?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,480,Tier3-Engineering,Low,POL-035,Yes
VPN,Performance,VPN issue: Performance?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,10080,Tier2-Technical,Medium,POL-036,No
Hardware,Replacement,Hardware issue: Replacement?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,480,Tier3-Engineering,High,POL-037,Yes
API Failure,Rate Limit,API Failure issue: Rate Limit?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,15,Billing-Team,High,POL-038,No
VPN,Authentication,VPN issue: Authentication?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,30,Billing-Team,Critical,POL-039,No
Billing,Refund Process,Billing issue: Refund Process?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,240,Billing-Team,Medium,POL-040,No
Security,MFA Setup,Security issue: MFA Setup?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,10080,Tier2-Technical,Medium,POL-041,No
Product Defect,Cosmetic Damage,Product Defect issue: Cosmetic Damage?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,480,Billing-Team,Low,POL-042,Yes
Network,DNS Resolution,Network issue: DNS Resolution?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,60,Billing-Team,High,POL-043,No
Refund Request,Return Process,Refund Request issue: Return Process?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,120,Tier1-Support,High,POL-044,Yes
Delivery,Address Issue,Delivery issue: Address Issue?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,120,Tier2-Technical,High,POL-045,Yes
Product Defect,Cosmetic Damage,Product Defect issue: Cosmetic Damage?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,120,Tier1-Support,High,POL-046,Yes
Cloud Service,Performance,Cloud Service issue: Performance?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,1440,Tier3-Engineering,Critical,POL-047,No
API Failure,Rate Limit,API Failure issue: Rate Limit?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,120,Tier1-Support,Critical,POL-048,No
Product Defect,Performance,Product Defect issue: Performance?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,30,Billing-Team,Critical,POL-049,Yes
API Failure,Timeout,API Failure issue: Timeout?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,60,Tier1-Support,Low,POL-050,No
Infrastructure,Database Issue,Infrastructure issue: Database Issue?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,10080,Billing-Team,Low,POL-051,No
API Failure,Timeout,API Failure issue: Timeout?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,10080,Billing-Team,High,POL-052,No
Security,Credential Reset,Security issue: Credential Reset?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,120,Tier3-Engineering,Medium,POL-053,No
Software,Update Issue,Software issue: Update Issue?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,15,Tier1-Support,Critical,POL-054,No
Refund Request,Refund Status,Refund Request issue: Refund Status?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,10080,Tier2-Technical,Medium,POL-055,Yes
Security,Account Breach,Security issue: Account Breach?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,10080,Tier2-Technical,Low,POL-056,No
Refund Request,Return Process,Refund Request issue: Return Process?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,120,Tier1-Support,Low,POL-057,No
Account Access,Permission Issue,Account Access issue: Permission Issue?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,15,Billing-Team,Medium,POL-058,Yes
Refund Request,Return Process,Refund Request issue: Return Process?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,10080,Tier3-Engineering,Low,POL-059,Yes
Billing,Refund Process,Billing issue: Refund Process?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,120,Tier1-Support,Critical,POL-060,Yes
Hardware,Replacement,Hardware issue: Replacement?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,15,Tier3-Engineering,Low,POL-061,Yes
Billing,Invoice Dispute,Billing issue: Invoice Dispute?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,120,Tier2-Technical,Critical,POL-062,No
Refund Request,Refund Status,Refund Request issue: Refund Status?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,15,Tier3-Engineering,High,POL-063,No
Infrastructure,Storage,Infrastructure issue: Storage?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,60,Tier2-Technical,Low,POL-064,Yes
Product Defect,Malfunction,Product Defect issue: Malfunction?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,60,Tier1-Support,High,POL-065,Yes
Billing,Payment Failure,Billing issue: Payment Failure?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,30,Tier3-Engineering,Low,POL-066,Yes
Software,Feature Request,Software issue: Feature Request?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,240,Billing-Team,High,POL-067,Yes
VPN,Performance,VPN issue: Performance?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,1440,Tier1-Support,Low,POL-068,No
Software,Update Issue,Software issue: Update Issue?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,120,Tier3-Engineering,Critical,POL-069,Yes
Hardware,Device Failure,Hardware issue: Device Failure?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,240,Tier2-Technical,Critical,POL-070,Yes
Refund Request,Return Process,Refund Request issue: Return Process?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,10080,Tier1-Support,High,POL-071,No
Software,Feature Request,Software issue: Feature Request?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,1440,Tier1-Support,Low,POL-072,Yes
Cloud Service,Configuration,Cloud Service issue: Configuration?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,15,Tier3-Engineering,Critical,POL-073,No
Product Defect,Malfunction,Product Defect issue: Malfunction?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,1440,Billing-Team,High,POL-074,Yes
Refund Request,Credit,Refund Request issue: Credit?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,120,Tier2-Technical,Critical,POL-075,Yes
Account Access,Permission Issue,Account Access issue: Permission Issue?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,10080,Tier3-Engineering,Medium,POL-076,Yes
Cloud Service,Configuration,Cloud Service issue: Configuration?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,1440,Tier3-Engineering,Medium,POL-077,No
VPN,Authentication,VPN issue: Authentication?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,1440,Billing-Team,Critical,POL-078,Yes
Cloud Service,Migration,Cloud Service issue: Migration?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,120,Tier1-Support,High,POL-079,No
Product Defect,Cosmetic Damage,Product Defect issue: Cosmetic Damage?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,120,Tier1-Support,Medium,POL-080,Yes
Delivery,Delayed Delivery,Delivery issue: Delayed Delivery?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,30,Tier2-Technical,Critical,POL-081,Yes
VPN,Performance,VPN issue: Performance?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,120,Billing-Team,Critical,POL-082,No
Delivery,Tracking,Delivery issue: Tracking?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,1440,Tier1-Support,Critical,POL-083,Yes
Delivery,Lost Package,Delivery issue: Lost Package?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,1440,Tier2-Technical,Medium,POL-084,No
Delivery,Address Issue,Delivery issue: Address Issue?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,10080,Tier3-Engineering,Critical,POL-085,No
Software,Bug Report,Software issue: Bug Report?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,1440,Billing-Team,Critical,POL-086,Yes
API Failure,Error Response,API Failure issue: Error Response?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,480,Tier2-Technical,Medium,POL-087,Yes
Hardware,Device Failure,Hardware issue: Device Failure?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,240,Tier1-Support,Medium,POL-088,No
Cloud Service,Service Unavailable,Cloud Service issue: Service Unavailable?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,15,Billing-Team,Low,POL-089,No
Infrastructure,Storage,Infrastructure issue: Storage?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,30,Billing-Team,Critical,POL-090,Yes
Network,DNS Resolution,Network issue: DNS Resolution?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,240,Tier1-Support,Medium,POL-091,No
Cloud Service,Service Unavailable,Cloud Service issue: Service Unavailable?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,1440,Tier1-Support,High,POL-092,Yes
Account Access,Login Failed,Account Access issue: Login Failed?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,1440,Tier2-Technical,Critical,POL-093,No
Infrastructure,Storage,Infrastructure issue: Storage?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,240,Tier2-Technical,Critical,POL-094,No
Security,MFA Setup,Security issue: MFA Setup?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,30,Tier2-Technical,Critical,POL-095,No
Billing,Invoice Dispute,Billing issue: Invoice Dispute?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,1440,Tier2-Technical,Low,POL-096,Yes
Account Access,Password Reset,Account Access issue: Password Reset?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,10080,Tier3-Engineering,Critical,POL-097,Yes
Network,Bandwidth,Network issue: Bandwidth?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,240,Tier2-Technical,High,POL-098,Yes
API Failure,Timeout,API Failure issue: Timeout?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,240,Tier2-Technical,Critical,POL-099,Yes
Account Access,Permission Issue,Account Access issue: Permission Issue?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,480,Tier1-Support,Medium,POL-100,No
Cloud Service,Configuration,Cloud Service issue: Configuration?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,60,Tier1-Support,Low,POL-101,Yes
Hardware,Warranty Claim,Hardware issue: Warranty Claim?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,240,Billing-Team,Low,POL-102,No
Network,Latency,Network issue: Latency?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,10080,Tier1-Support,Medium,POL-103,No
Security,Account Breach,Security issue: Account Breach?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,60,Tier2-Technical,High,POL-104,No
Cloud Service,Migration,Cloud Service issue: Migration?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,1440,Tier3-Engineering,Low,POL-105,Yes
VPN,Authentication,VPN issue: Authentication?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,60,Billing-Team,Medium,POL-106,Yes
Infrastructure,Storage,Infrastructure issue: Storage?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,15,Tier3-Engineering,Critical,POL-107,No
Refund Request,Replacement,Refund Request issue: Replacement?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,15,Tier2-Technical,Critical,POL-108,No
Network,DNS Resolution,Network issue: DNS Resolution?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,60,Tier3-Engineering,Critical,POL-109,Yes
Product Defect,Cosmetic Damage,Product Defect issue: Cosmetic Damage?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,120,Tier3-Engineering,Medium,POL-110,Yes
Product Defect,Quality Issue,Product Defect issue: Quality Issue?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,1440,Tier1-Support,Critical,POL-111,Yes
Software,Installation,Software issue: Installation?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,480,Tier3-Engineering,Low,POL-112,Yes
Hardware,Warranty Claim,Hardware issue: Warranty Claim?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,10080,Tier3-Engineering,Low,POL-113,No
Billing,Invoice Dispute,Billing issue: Invoice Dispute?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,120,Tier3-Engineering,Low,POL-114,No
Network,DNS Resolution,Network issue: DNS Resolution?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,15,Tier3-Engineering,Critical,POL-115,Yes
Software,Feature Request,Software issue: Feature Request?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,10080,Tier1-Support,Critical,POL-116,No
Security,Account Breach,Security issue: Account Breach?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,120,Tier1-Support,Low,POL-117,No
