order_id,customer_id,product_id,product_name,product_category,brand,ordered_color,received_color,damage_detected,missing_item,replacement_requested,refund_requested,payment_status,order_status,delivery_status,invoice_number,order_amount,refund_amount,shipping_region,seller_name,warehouse_location,return_reason,delivery_partner,purchase_date,delivery_date,customer_satisfaction
ORD-200020,CUST-08679,PROD-1816,VPN License Pack,Software,VPNSecure,Black,Black,No,No,No,No,Completed,Delivered,Delivered,INV-3000020,1667.83,0.0,LATAM,Direct Sales,US-East-1,,FedEx,2024-04-24,2024-05-10,2
ORD-200021,CUST-08683,PROD-1652,Managed Firewall,Security,NetDefense,Green,Green,No,No,No,No,Completed,Delivered,In Transit,INV-3000021,3951.99,0.0,LATAM,Partner Channel,CA-Central-1,,UPS,2024-04-13,2024-04-18,4
ORD-200022,CUST-08125,PROD-1057,SSD Storage 2TB,Hardware,FastStore,White,White,Yes,No,No,Yes,Pending,Delivered,Delivered,INV-3000022,1281.22,1058.38,Middle East,Direct Sales,US-East-1,,UPS,2024-05-01,2024-05-21,1
ORD-200023,CUST-02484,PROD-1878,Load Balancer 2U,Networking,DataFlow,Silver,Silver,No,No,No,No,Completed,Delivered,Out for Delivery,INV-3000023,804.6,0.0,Europe,Reseller,US-East-1,,Local Courier,2024-01-01,2024-01-07,4
ORD-200024,CUST-06535,PROD-1057,SSD Storage 2TB,Hardware,FastStore,Gray,Gray,No,No,No,No,Completed,Delivered,Delivered,INV-3000024,4234.25,0.0,Middle East,Reseller,EU-West-1,,UPS,2024-03-13,2024-03-29,4
ORD-200025,CUST-09338,PROD-1816,VPN License Pack,Software,VPNSecure,Black,Black,No,No,No,No,Completed,Delivered,Delivered,INV-3000025,647.14,0.0,North America,Direct Sales,SA-East-1,,Local Courier,2024-01-26,2024-01-31,5
ORD-200026,CUST-14125,PROD-1790,Network Switch 48P,Networking,NetCore,White,White,No,No,No,No,Completed,Delivered,Out for Delivery,INV-3000026,2410.69,0.0,North America,Marketplace,US-East-1,,UPS,2024-01-14,2024-01-29,4
ORD-200027,CUST-05642,PROD-1739,Security Gateway X1,Security,SecureNet,Blue,Blue,No,No,No,No,Completed,Processing,Delivered,INV-3000027,4365.09,0.0,LATAM,Marketplace,SA-East-1,,Express Mail,2024-04-20,2024-05-05,
ORD-200028,CUST-14922,PROD-1423,Hardware Token USB,Hardware,CyberAuth,White,White,No,No,No,No,Completed,Processing,Delivered,INV-3000028,2317.64,0.0,Europe,Distributor,CA-Central-1,,DHL,2024-04-24,2024-05-10,
ORD-200029,CUST-03681,PROD-1739,Security Gateway X1,Security,SecureNet,Black,Black,No,No,No,No,Completed,Delivered,Out for Delivery,INV-3000029,3513.6,0.0,North America,Marketplace,EU-West-1,,Express Mail,2024-01-17,2024-01-25,2
ORD-200030,CUST-06535,PROD-1711,Cloud Backup 500GB,Cloud Service,CloudVault,Gray,Gray,No,No,No,No,Completed,Delivered,Delivered,INV-3000030,3000.63,0.0,Europe,Reseller,SA-East-1,,DHL,2024-05-17,2024-05-21,4
ORD-200031,CUST-12738,PROD-1790,Network Switch 48P,Networking,NetCore,Black,Black,No,No,No,No,Completed,Delivered,Delivered,INV-3000031,3478.13,0.0,North America,Partner Channel,AP-South-1,,FedEx,2024-06-16,2024-07-04,4
ORD-200032,CUST-05887,PROD-1790,Network Switch 48P,Networking,NetCore,White,White,No,No,No,No,Completed,Delivered,Delivered,INV-3000032,3762.06,0.0,Europe,Distributor,SA-East-1,,Local Courier,2024-02-28,2024-03-13,4
ORD-200033,CUST-14877,PROD-1522,Enterprise Router Pro,Networking,NetCore,Black,Black,No,Yes,Yes,Yes,Refunded,Pending,Out for Delivery,INV-3000033,2381.53,2357.47,Europe,Reseller,SA-East-1,,Local Courier,2024-04-21,2024-04-26,
ORD-200034,CUST-11486,PROD-1522,Enterprise Router Pro,Networking,NetCore,Black,Black,No,No,No,No,Pending,Shipped,Delivered,INV-3000034,616.22,0.0,Middle East,Direct Sales,AP-South-1,,Express Mail,2024-05-16,2024-05-20,
ORD-200035,CUST-08404,PROD-1711,Cloud Backup 500GB,Cloud Service,CloudVault,Silver,Silver,No,No,No,No,Completed,Delivered,Returned,INV-3000035,937.62,0.0,North America,Distributor,EU-West-1,,UPS,2024-03-06,2024-03-18,5
ORD-200036,CUST-03504,PROD-1739,Security Gateway X1,Security,SecureNet,Gray,Gray,No,No,No,No,Completed,Delivered,Out for Delivery,INV-3000036,4110.27,0.0,Middle East,Partner Channel,EU-West-1,,UPS,2024-03-19,2024-03-31,4
ORD-200037,CUST-07374,PROD-1878,Load Balancer 2U,Networking,DataFlow,Black,Black,No,No,No,No,Completed,Delivered,Out for Delivery,INV-3000037,2143.97,0.0,LATAM,Partner Channel,AP-South-1,,UPS,2024-01-19,2024-01-21,5
ORD-200038,CUST-11011,PROD-1739,Security Gateway X1,Security,SecureNet,Silver,Silver,No,No,No,No,Completed,Delivered,Delivered,INV-3000038,796.55,0.0,LATAM,Distributor,AP-South-1,,UPS,2024-05-05,2024-05-17,5
ORD-200039,CUST-14545,PROD-1522,Enterprise Router Pro,Networking,NetCore,Red,Red,No,No,No,No,Completed,Delivered,Delivered,INV-3000039,2888.33,0.0,Asia-Pacific,Distributor,SA-East-1,,Local Courier,2024-01-05,2024-01-16,5
ORD-200040,CUST-13043,PROD-1790,Network Switch 48P,Networking,NetCore,Gray,Black,No,No,Yes,No,Completed,Delivered,Delivered,INV-3000040,4183.57,0.0,Asia-Pacific,Direct Sales,US-East-1,,Express Mail,2024-01-17,2024-01-27,4
ORD-200041,CUST-11257,PROD-1652,Managed Firewall,Security,NetDefense,Red,Red,No,No,No,No,Completed,Delivered,Delivered,INV-3000041,5597.32,0.0,North America,Reseller,SA-East-1,,UPS,2024-03-02,2024-03-15,4
ORD-200042,CUST-06855,PROD-1522,Enterprise Router Pro,Networking,NetCore,Red,Red,No,No,No,No,Refunded,Returned,Out for Delivery,INV-3000042,2460.6,0.0,Africa,Partner Channel,AP-South-1,Missing parts,FedEx,2024-01-01,2024-01-10,
ORD-200043,CUST-12657,PROD-1652,Managed Firewall,Security,NetDefense,Blue,Blue,No,No,No,No,Completed,Processing,Delivered,INV-3000043,5018.26,0.0,Asia-Pacific,Marketplace,AP-South-1,,Local Courier,2024-01-14,2024-01-18,
ORD-200044,CUST-04108,PROD-1878,Load Balancer 2U,Networking,DataFlow,Red,Red,No,No,No,No,Completed,Delivered,Delivered,INV-3000044,3280.47,0.0,LATAM,Partner Channel,SA-East-1,,Express Mail,2024-05-11,2024-05-25,4
ORD-200045,CUST-09680,PROD-1878,Load Balancer 2U,Networking,DataFlow,Blue,Blue,No,No,No,No,Completed,Delivered,Delivered,INV-3000045,5427.1,0.0,Middle East,Marketplace,AP-South-1,,Local Courier,2024-05-04,2024-05-11,4
ORD-200046,CUST-04863,PROD-1057,SSD Storage 2TB,Hardware,FastStore,Red,Red,No,No,No,No,Completed,Delivered,Delivered,INV-3000046,2530.45,0.0,Africa,Partner Channel,US-East-1,,DHL,2024-02-22,2024-03-02,3
ORD-200047,CUST-10183,PROD-1232,API Integration Suite,Software,IntegratePro,Gray,Gray,No,No,No,No,Completed,Delivered,Delivered,INV-3000047,4463.13,0.0,Asia-Pacific,Partner Channel,EU-West-1,,UPS,2024-02-11,2024-02-27,5
ORD-200048,CUST-07420,PROD-1522,Enterprise Router Pro,Networking,NetCore,White,Blue,No,No,Yes,No,Completed,Delivered,Delivered,INV-3000048,5985.85,0.0,Africa,Marketplace,EU-West-1,,Local Courier,2024-04-06,2024-04-12,5
ORD-200049,CUST-01574,PROD-1878,Load Balancer 2U,Networking,DataFlow,White,White,No,No,No,No,Completed,Delivered,Delivered,INV-3000049,3114.69,0.0,North America,Reseller,EU-West-1,,UPS,2024-03-14,2024-03-16,2
ORD-200050,CUST-01395,PROD-1790,Network Switch 48P,Networking,NetCore,Silver,Silver,No,No,No,No,Completed,Delivered,Delivered,INV-3000050,3741.56,0.0,LATAM,Partner Channel,CA-Central-1,,Express Mail,2024-01-15,2024-01-24,2
ORD-200051,CUST-01580,PROD-1232,API Integration Suite,Software,IntegratePro,Gray,Silver,No,No,Yes,No,Completed,Delivered,Delivered,INV-3000051,3953.54,0.0,Middle East,Reseller,EU-West-1,,Local Courier,2024-06-12,2024-06-17,5
ORD-200052,CUST-01154,PROD-1423,Hardware Token USB,Hardware,CyberAuth,Green,Green,No,No,No,No,Completed,Delivered,Failed Delivery,INV-3000052,2251.39,0.0,Middle East,Reseller,EU-West-1,,DHL,2024-05-13,2024-05-22,4
ORD-200053,CUST-02895,PROD-1739,Security Gateway X1,Security,SecureNet,Red,Red,No,No,No,No,Completed,Delivered,Delivered,INV-3000053,1091.96,0.0,Middle East,Direct Sales,EU-West-1,,UPS,2024-04-20,2024-04-29,5
ORD-200054,CUST-02495,PROD-1878,Load Balancer 2U,Networking,DataFlow,Red,Red,No,No,No,No,Refunded,Delivered,Delivered,INV-3000054,5557.25,0.0,Asia-Pacific,Marketplace,CA-Central-1,,Local Courier,2024-03-12,2024-03-23,5
ORD-200055,CUST-03612,PROD-1816,VPN License Pack,Software,VPNSecure,Green,Green,No,No,No,No,Completed,Processing,In Transit,INV-3000055,893.21,0.0,Africa,Direct Sales,SA-East-1,,Local Courier,2024-02-10,2024-02-22,
ORD-200056,CUST-13039,PROD-1522,Enterprise Router Pro,Networking,NetCore,Gray,Gray,No,No,No,No,Completed,Shipped,Returned,INV-3000056,5080.72,0.0,LATAM,Marketplace,SA-East-1,,Express Mail,2024-02-26,2024-02-28,
ORD-200057,CUST-13936,PROD-1057,SSD Storage 2TB,Hardware,FastStore,White,White,No,No,No,No,Pending,Delivered,Delivered,INV-3000057,2573.32,0.0,Africa,Reseller,EU-West-1,,Local Courier,2024-02-22,2024-03-03,3
ORD-200058,CUST-01391,PROD-1232,API Integration Suite,Software,IntegratePro,Blue,Blue,No,No,No,No,Completed,Delivered,In Transit,INV-3000058,2661.68,0.0,North America,Direct Sales,CA-Central-1,,UPS,2024-03-30,2024-04-11,5
ORD-200059,CUST-06801,PROD-1711,Cloud Backup 500GB,Cloud Service,CloudVault,Black,Black,No,No,No,No,Completed,Delivered,Delivered,INV-3000059,3645.29,0.0,Asia-Pacific,Reseller,AP-South-1,,Local Courier,2024-04-17,2024-05-07,3
ORD-200060,CUST-01854,PROD-1739,Security Gateway X1,Security,SecureNet,Silver,Silver,No,No,No,No,Completed,Delivered,Not Shipped,INV-3000060,2074.4,0.0,Asia-Pacific,Partner Channel,US-East-1,,FedEx,2024-01-29,2024-02-10,4
ORD-200061,CUST-07172,PROD-1522,Enterprise Router Pro,Networking,NetCore,White,White,Yes,No,Yes,No,Completed,Delivered,Out for Delivery,INV-3000061,5777.1,0.0,Middle East,Partner Channel,CA-Central-1,,DHL,2024-06-25,2024-07-04,4
ORD-200062,CUST-05312,PROD-1652,Managed Firewall,Security,NetDefense,White,White,No,No,No,No,Completed,Processing,Delivered,INV-3000062,1495.46,0.0,Europe,Distributor,US-East-1,,Express Mail,2024-03-02,2024-03-20,
ORD-200063,CUST-02184,PROD-1423,Hardware Token USB,Hardware,CyberAuth,Blue,Blue,No,No,No,No,Completed,Delivered,Delivered,INV-3000063,673.54,0.0,Africa,Partner Channel,US-East-1,,Express Mail,2024-03-18,2024-04-07,4
ORD-200064,CUST-02365,PROD-1816,VPN License Pack,Software,VPNSecure,Black,Black,No,No,No,No,Completed,Delivered,Delivered,INV-3000064,3488.95,0.0,North America,Marketplace,US-East-1,,DHL,2024-03-03,2024-03-08,3
ORD-200065,CUST-10561,PROD-1878,Load Balancer 2U,Networking,DataFlow,Red,Red,No,No,No,No,Pending,Cancelled,Delivered,INV-3000065,1842.24,0.0,LATAM,Reseller,US-East-1,,Local Courier,2024-04-19,2024-04-22,
ORD-200066,CUST-01956,PROD-1057,SSD Storage 2TB,Hardware,FastStore,Red,Red,No,No,No,No,Completed,Processing,Out for Delivery,INV-3000066,4380.04,0.0,Africa,Distributor,SA-East-1,,Express Mail,2024-04-02,2024-04-11,
ORD-200067,CUST-07588,PROD-1057,SSD Storage 2TB,Hardware,FastStore,Silver,Silver,No,No,No,No,Completed,Delivered,Delivered,INV-3000067,4128.79,0.0,Europe,Direct Sales,AP-South-1,,Local Courier,2024-03-12,2024-03-28,4
ORD-200068,CUST-02636,PROD-1057,SSD Storage 2TB,Hardware,FastStore,Blue,Blue,No,Yes,No,Yes,Pending,Delivered,Delivered,INV-3000068,4889.3,2963.21,Asia-Pacific,Distributor,AP-South-1,,Express Mail,2024-03-28,2024-04-12,4
ORD-200069,CUST-11011,PROD-1423,Hardware Token USB,Hardware,CyberAuth,Blue,Blue,No,No,No,No,Completed,Returned,Failed Delivery,INV-3000069,1103.17,0.0,Africa,Reseller,CA-Central-1,Better alternative found,Local Courier,2024-05-21,2024-06-07,
ORD-200070,CUST-12261,PROD-1057,SSD Storage 2TB,Hardware,FastStore,Silver,Silver,No,No,No,No,Completed,Delivered,Delivered,INV-3000070,5133.33,0.0,Africa,Partner Channel,AP-South-1,,Express Mail,2024-04-21,2024-05-11,4
ORD-200071,CUST-10492,PROD-1057,SSD Storage 2TB,Hardware,FastStore,Blue,Blue,No,No,No,No,Completed,Delivered,Delivered,INV-3000071,2247.36,0.0,Asia-Pacific,Distributor,CA-Central-1,,DHL,2024-05-09,2024-05-13,4
ORD-200072,CUST-03385,PROD-1423,Hardware Token USB,Hardware,CyberAuth,White,White,No,No,No,No,Completed,Delivered,Delivered,INV-3000072,3445.67,0.0,Middle East,Partner Channel,EU-West-1,,UPS,2024-02-22,2024-03-06,3
ORD-200073,CUST-01953,PROD-1057,SSD Storage 2TB,Hardware,FastStore,Gray,Gray,No,No,No,No,Refunded,Delivered,In Transit,INV-3000073,3523.93,0.0,Asia-Pacific,Direct Sales,EU-West-1,,DHL,2024-02-28,2024-03-14,4
ORD-200074,CUST-08994,PROD-1652,Managed Firewall,Security,NetDefense,White,White,No,No,No,No,Completed,Delivered,Delivered,INV-3000074,4526.62,0.0,North America,Direct Sales,SA-East-1,,DHL,2024-01-25,2024-02-02,3
ORD-200075,CUST-09082,PROD-1711,Cloud Backup 500GB,Cloud Service,CloudVault,Red,Red,No,No,No,No,Completed,Delivered,In Transit,INV-3000075,5432.26,0.0,Middle East,Distributor,CA-Central-1,,Local Courier,2024-04-07,2024-04-13,1
ORD-200076,CUST-03733,PROD-1652,Managed Firewall,Security,NetDefense,White,Gray,No,No,No,No,Failed,Shipped,Delivered,INV-3000076,1861.11,0.0,LATAM,Reseller,US-East-1,,Express Mail,2024-01-17,2024-01-23,
ORD-200077,CUST-02066,PROD-1522,Enterprise Router Pro,Networking,NetCore,White,White,No,No,No,No,Completed,Delivered,Out for Delivery,INV-3000077,361.68,0.0,Europe,Direct Sales,SA-East-1,,Local Courier,2024-01-27,2024-02-03,5
ORD-200078,CUST-03839,PROD-1232,API Integration Suite,Software,IntegratePro,Green,Green,No,No,No,No,Completed,Delivered,Delivered,INV-3000078,3566.78,0.0,LATAM,Distributor,SA-East-1,,Local Courier,2024-05-24,2024-06-08,1
ORD-200079,CUST-07694,PROD-1232,API Integration Suite,Software,IntegratePro,Blue,Blue,No,No,No,No,Completed,Delivered,In Transit,INV-3000079,3736.97,0.0,Europe,Partner Channel,AP-South-1,,FedEx,2024-01-26,2024-02-07,3
ORD-200080,CUST-07910,PROD-1816,VPN License Pack,Software,VPNSecure,White,White,No,No,No,No,Completed,Delivered,Delivered,INV-3000080,3527.51,0.0,Africa,Marketplace,CA-Central-1,,DHL,2024-04-07,2024-04-23,5
ORD-200081,CUST-09666,PROD-1816,VPN License Pack,Software,VPNSecure,Gray,Gray,No,No,No,No,Completed,Delivered,Delivered,INV-3000081,3376.1,0.0,Africa,Partner Channel,AP-South-1,,Express Mail,2024-03-21,2024-04-04,3
ORD-200082,CUST-08164,PROD-1816,VPN License Pack,Software,VPNSecure,Silver,Silver,No,No,No,No,Completed,Delivered,Delivered,INV-3000082,2302.78,0.0,Asia-Pacific,Partner Channel,US-East-1,,FedEx,2024-05-08,2024-05-20,4
ORD-200083,CUST-08035,PROD-1423,Hardware Token USB,Hardware,CyberAuth,Blue,Blue,No,No,No,No,Completed,Shipped,In Transit,INV-3000083,312.33,0.0,North America,Reseller,AP-South-1,,Local Courier,2024-06-27,2024-07-04,
ORD-200084,CUST-09958,PROD-1790,Network Switch 48P,Networking,NetCore,Blue,Blue,No,Yes,Yes,Yes,Completed,Delivered,In Transit,INV-3000084,5527.69,3455.82,North America,Partner Channel,SA-East-1,,Express Mail,2024-01-17,2024-01-28,5
ORD-200085,CUST-07949,PROD-1423,Hardware Token USB,Hardware,CyberAuth,Blue,Blue,No,No,No,No,Completed,Shipped,Failed Delivery,INV-3000085,4621.84,0.0,Africa,Reseller,AP-South-1,,UPS,2024-05-28,2024-06-15,
ORD-200086,CUST-13838,PROD-1878,Load Balancer 2U,Networking,DataFlow,Red,Red,No,No,No,No,Completed,Delivered,Delivered,INV-3000086,1722.11,0.0,LATAM,Distributor,AP-South-1,,FedEx,2024-03-29,2024-04-11,3
ORD-200087,CUST-05488,PROD-1652,Managed Firewall,Security,NetDefense,Silver,Silver,No,No,No,No,Refunded,Cancelled,Not Shipped,INV-3000087,4320.78,0.0,Middle East,Direct Sales,CA-Central-1,,FedEx,2024-05-24,2024-06-01,
ORD-200088,CUST-12561,PROD-1423,Hardware Token USB,Hardware,CyberAuth,Gray,Gray,No,No,No,No,Completed,Delivered,Delivered,INV-3000088,5568.06,0.0,North America,Marketplace,CA-Central-1,,Local Courier,2024-02-28,2024-03-18,5
ORD-200089,CUST-11627,PROD-1816,VPN License Pack,Software,VPNSecure,Blue,Blue,No,No,No,No,Completed,Delivered,Delivered,INV-3000089,3972.92,0.0,North America,Partner Channel,AP-South-1,,Express Mail,2024-01-14,2024-01-18,4
ORD-200090,CUST-06892,PROD-1423,Hardware Token USB,Hardware,CyberAuth,Silver,Silver,No,Yes,Yes,No,Completed,Delivered,Delivered,INV-3000090,2812.88,0.0,Africa,Partner Channel,AP-South-1,,Express Mail,2024-04-17,2024-04-25,4
ORD-200091,CUST-12363,PROD-1790,Network Switch 48P,Networking,NetCore,Silver,Silver,No,No,No,No,Completed,Delivered,Delivered,INV-3000091,3866.58,0.0,LATAM,Direct Sales,EU-West-1,,Local Courier,2024-01-16,2024-01-30,4
ORD-200092,CUST-04636,PROD-1423,Hardware Token USB,Hardware,CyberAuth,Blue,Blue,No,No,No,No,Completed,Processing,Delivered,INV-3000092,420.24,0.0,LATAM,Partner Channel,CA-Central-1,,Express Mail,2024-01-13,2024-01-27,
ORD-200093,CUST-03731,PROD-1878,Load Balancer 2U,Networking,DataFlow,White,Blue,No,No,Yes,No,Completed,Cancelled,In Transit,INV-3000093,353.07,0.0,LATAM,Distributor,SA-East-1,,DHL,2024-01-29,2024-02-16,
ORD-200094,CUST-06390,PROD-1423,Hardware Token USB,Hardware,CyberAuth,Red,Red,No,No,No,No,Completed,Delivered,Delivered,INV-3000094,5278.96,0.0,LATAM,Partner Channel,CA-Central-1,,Express Mail,2024-04-30,2024-05-11,2
ORD-200095,CUST-07614,PROD-1652,Managed Firewall,Security,NetDefense,Gray,Gray,No,No,No,No,Completed,Delivered,Delivered,INV-3000095,318.07,0.0,Asia-Pacific,Partner Channel,EU-West-1,,Express Mail,2024-06-21,2024-07-06,3
ORD-200096,CUST-13757,PROD-1816,VPN License Pack,Software,VPNSecure,Green,Green,Yes,No,No,No,Pending,Delivered,Delivered,INV-3000096,1879.41,0.0,LATAM,Partner Channel,CA-Central-1,,FedEx,2024-03-13,2024-03-29,4
ORD-200097,CUST-07736,PROD-1790,Network Switch 48P,Networking,NetCore,Blue,Blue,No,No,No,No,Completed,Delivered,Failed Delivery,INV-3000097,4781.17,0.0,North America,Marketplace,CA-Central-1,,FedEx,2024-06-19,2024-06-26,5
ORD-200098,CUST-08860,PROD-1711,Cloud Backup 500GB,Cloud Service,CloudVault,Silver,Silver,No,No,No,No,Pending,Delivered,Delivered,INV-3000098,5937.35,0.0,Asia-Pacific,Distributor,SA-East-1,,Local Courier,2024-02-21,2024-02-26,3
ORD-200099,CUST-04974,PROD-1739,Security Gateway X1,Security,SecureNet,Green,Green,No,No,No,No,Refunded,Delivered,Delivered,INV-3000099,3221.32,0.0,Asia-Pacific,Reseller,SA-East-1,,FedEx,2024-03-14,2024-03-26,3
ORD-200100,CUST-03427,PROD-1739,Security Gateway X1,Security,SecureNet,White,White,No,No,No,No,Completed,Delivered,Delivered,INV-3000100,2294.71,0.0,Africa,Direct Sales,CA-Central-1,,FedEx,2024-01-05,2024-01-21,3
ORD-200101,CUST-10580,PROD-1739,Security Gateway X1,Security,SecureNet,Silver,Silver,No,Yes,Yes,Yes,Completed,Delivered,Delivered,INV-3000101,1782.33,1210.61,LATAM,Partner Channel,EU-West-1,,Express Mail,2024-06-11,2024-06-30,4
ORD-200102,CUST-11716,PROD-1232,API Integration Suite,Software,IntegratePro,Red,Red,No,No,No,No,Refunded,Delivered,Delivered,INV-3000102,3849.74,0.0,LATAM,Marketplace,EU-West-1,,Local Courier,2024-05-04,2024-05-20,1
ORD-200103,CUST-03479,PROD-1711,Cloud Backup 500GB,Cloud Service,CloudVault,White,White,No,No,No,No,Pending,Delivered,Delivered,INV-3000103,2528.67,0.0,North America,Reseller,AP-South-1,,Express Mail,2024-05-02,2024-05-12,1
ORD-200104,CUST-13685,PROD-1739,Security Gateway X1,Security,SecureNet,Silver,Blue,No,No,Yes,No,Pending,Processing,Delivered,INV-3000104,5609.06,0.0,LATAM,Distributor,EU-West-1,,Local Courier,2024-05-18,2024-05-21,
ORD-200105,CUST-07002,PROD-1739,Security Gateway X1,Security,SecureNet,White,White,No,No,No,No,Completed,Delivered,Delivered,INV-3000105,4422.49,0.0,Africa,Distributor,US-East-1,,Local Courier,2024-03-30,2024-04-18,2
ORD-200106,CUST-09004,PROD-1522,Enterprise Router Pro,Networking,NetCore,Blue,Blue,No,No,No,No,Completed,Delivered,In Transit,INV-3000106,5150.88,0.0,Middle East,Reseller,AP-South-1,,UPS,2024-02-09,2024-02-23,4
ORD-200107,CUST-09527,PROD-1652,Managed Firewall,Security,NetDefense,White,White,No,No,No,No,Completed,Delivered,Delivered,INV-3000107,4163.69,0.0,Africa,Partner Channel,US-East-1,,FedEx,2024-03-31,2024-04-14,3
