feedback_id,ticket_id,customer_id,feedback_text,feedback_rating,sentiment,churn_risk,response_time_satisfaction,agent_behavior_score,resolution_satisfaction,would_recommend,customer_emotion,repeat_customer,feedback_channel,feedback_date
FB-600025,TKT-100313,CUST-04519,Agent wasn't helpful. Had to repeat myself multiple times.,3,Negative,Low,4,4,2,No,Frustrated,No,Survey,2024-05-24
FB-600026,TKT-100781,CUST-01065,Agent explained everything clearly.,5,Positive,Low,5,4,5,Yes,Satisfied,No,Social Media,2024-05-23
FB-600027,TKT-101762,CUST-06442,Excellent support! Agent went above and beyond.,5,Very Positive,Low,2,1,4,Yes,Delighted,No,Social Media,2024-06-12
FB-600028,TKT-101537,CUST-14451,No solution provided. Ticket was escalated multiple times.,1,Very Negative,Low,3,2,5,No,Angry,Yes,Survey,2024-06-16
FB-600029,TKT-100323,CUST-06605,Issue was resolved eventually.,3,Neutral,Low,2,3,2,No,Neutral,No,Phone,2024-05-30
FB-600030,TKT-101039,CUST-14570,Agent was knowledgeable and helpful.,5,Positive,Low,4,5,4,Yes,Satisfied,No,Chat,2024-02-29
FB-600031,TKT-101723,CUST-11459,Nothing special but acceptable.,3,Neutral,Low,5,4,5,Yes,Neutral,Yes,Phone,2024-01-09
FB-600032,TKT-101104,CUST-13483,Nothing special but acceptable.,3,Neutral,Low,5,5,4,Yes,Neutral,No,Survey,2024-06-09
FB-600033,TKT-100039,CUST-12684,Good support experience overall.,4,Positive,Low,4,4,4,Yes,Satisfied,No,Chat,2024-04-21
FB-600034,TKT-100490,CUST-13803,Agent wasn't helpful. Had to repeat myself multiple times.,2,Negative,Low,3,3,4,No,Frustrated,No,Email,2024-06-17
FB-600035,TKT-100175,CUST-13247,Felt like my issue wasn't prioritized.,3,Negative,Medium,3,5,4,Yes,Angry,No,Social Media,2024-05-24
FB-600036,TKT-101568,CUST-14182,Support was adequate. Could be better.,3,Neutral,Low,4,4,3,No,Neutral,No,Phone,2024-06-06
FB-600037,TKT-100542,CUST-02210,Best support experience I've had. Thank you!,5,Very Positive,Low,5,4,5,Yes,Delighted,No,Phone,2024-01-30
FB-600038,TKT-101902,CUST-09679,Issue resolved in reasonable time.,4,Positive,Low,2,5,3,Yes,Satisfied,No,Survey,2024-02-04
FB-600039,TKT-101375,CUST-04620,Good support experience overall.,5,Positive,Low,5,5,5,Yes,Satisfied,No,Social Media,2024-04-08
FB-600040,TKT-100924,CUST-11844,Issue resolved in reasonable time.,4,Positive,Low,3,5,5,Yes,Satisfied,Yes,Chat,2024-04-25
FB-600041,TKT-100043,CUST-07144,Nothing special but acceptable.,3,Neutral,Low,5,3,2,Yes,Neutral,No,Email,2024-01-25
FB-600042,TKT-100145,CUST-03921,Issue was resolved eventually.,3,Neutral,Low,5,2,3,Yes,Neutral,Yes,Email,2024-06-23
FB-600043,TKT-101760,CUST-03102,Excellent support! Agent went above and beyond.,5,Very Positive,Medium,4,5,4,Yes,Delighted,No,Chat,2024-06-09
FB-600044,TKT-101370,CUST-01600,Agent wasn't helpful. Had to repeat myself multiple times.,3,Negative,Low,3,5,5,Yes,Angry,No,Social Media,2024-01-13
FB-600045,TKT-101180,CUST-06145,Agent wasn't helpful. Had to repeat myself multiple times.,2,Negative,Low,4,4,4,No,Angry,No,Survey,2024-04-24
FB-600046,TKT-100389,CUST-02377,Issue was resolved eventually.,3,Neutral,Low,1,4,1,No,Neutral,Yes,Survey,2024-06-01
FB-600047,TKT-100956,CUST-11812,Response time was slow. Could have been resolved faster.,3,Negative,Low,4,1,1,Yes,Angry,Yes,Chat,2024-02-23
FB-600048,TKT-101639,CUST-13652,Agent was knowledgeable and helpful.,4,Positive,Low,4,3,4,Yes,Satisfied,Yes,Phone,2024-01-06
FB-600049,TKT-101098,CUST-05554,Agent wasn't helpful. Had to repeat myself multiple times.,3,Negative,Low,4,2,2,No,Angry,Yes,Survey,2024-04-15
FB-600050,TKT-100511,CUST-06914,Issue was resolved eventually.,3,Neutral,Low,3,4,1,No,Neutral,No,Social Media,2024-04-26
FB-600051,TKT-100200,CUST-12309,Support quality has declined recently.,2,Negative,Low,3,3,2,No,Frustrated,No,Email,2024-05-05
FB-600052,TKT-101897,CUST-09232,Agent wasn't helpful. Had to repeat myself multiple times.,2,Negative,Low,3,5,4,No,Frustrated,Yes,Survey,2024-01-22
FB-600053,TKT-100985,CUST-01138,Agent explained everything clearly.,4,Positive,Low,3,5,1,Yes,Satisfied,No,Phone,2024-03-09
FB-600054,TKT-100776,CUST-08555,Felt like my issue wasn't prioritized.,3,Negative,Low,4,4,2,No,Frustrated,No,Survey,2024-02-08
FB-600055,TKT-100584,CUST-07081,Nothing special but acceptable.,3,Neutral,Low,4,1,5,No,Neutral,Yes,Chat,2024-04-09
FB-600056,TKT-100445,CUST-12171,Terrible support. I'm switching providers immediately.,1,Very Negative,High,5,4,4,No,Angry,No,Email,2024-01-04
FB-600057,TKT-101531,CUST-01598,Agent was knowledgeable and helpful.,5,Positive,Low,1,4,5,Yes,Satisfied,Yes,Survey,2024-05-31
FB-600058,TKT-101029,CUST-02382,Satisfied with the resolution provided.,4,Positive,Low,4,4,5,Yes,Satisfied,Yes,Social Media,2024-03-07
FB-600059,TKT-100164,CUST-02180,Fastest resolution ever. Very impressed.,5,Very Positive,Low,2,3,3,Yes,Delighted,Yes,Email,2024-02-15
FB-600060,TKT-101382,CUST-05628,Waited 3 days for response. Worst experience ever.,1,Very Negative,Low,3,4,3,No,Angry,No,Social Media,2024-03-30
FB-600061,TKT-100504,CUST-01072,Nothing special but acceptable.,3,Neutral,Low,4,4,3,Yes,Neutral,No,Survey,2024-03-15
FB-600062,TKT-101346,CUST-14545,Best support experience I've had. Thank you!,5,Very Positive,Low,5,3,2,Yes,Delighted,No,Chat,2024-05-31
FB-600063,TKT-100418,CUST-06761,Outstanding service. Highly recommend!,5,Very Positive,Low,3,4,5,Yes,Delighted,Yes,Survey,2024-05-31
FB-600064,TKT-100268,CUST-12796,Outstanding service. Highly recommend!,5,Very Positive,Low,2,4,4,Yes,Delighted,No,Email,2024-04-08
FB-600065,TKT-100019,CUST-01061,Support quality has declined recently.,2,Negative,Low,4,4,3,No,Frustrated,No,Email,2024-04-09
FB-600066,TKT-100150,CUST-05838,Waited 3 days for response. Worst experience ever.,1,Very Negative,Low,3,5,4,No,Angry,No,Phone,2024-02-21
FB-600067,TKT-101911,CUST-01815,Agent was knowledgeable and helpful.,4,Positive,Medium,1,4,4,Yes,Satisfied,No,Chat,2024-02-22
FB-600068,TKT-100583,CUST-06698,Agent explained everything clearly.,4,Positive,Medium,5,5,5,Yes,Satisfied,No,Chat,2024-05-01
FB-600069,TKT-101252,CUST-14442,Nothing special but acceptable.,3,Neutral,Low,3,2,2,Yes,Neutral,No,Social Media,2024-03-14
FB-600070,TKT-100613,CUST-01227,Excellent support! Agent went above and beyond.,5,Very Positive,Low,5,4,3,Yes,Delighted,No,Phone,2024-05-16
FB-600071,TKT-100541,CUST-07198,Excellent support! Agent went above and beyond.,5,Very Positive,Low,1,2,5,Yes,Delighted,No,Phone,2024-04-18
FB-600072,TKT-100557,CUST-08804,Nothing special but acceptable.,3,Neutral,Low,5,5,5,Yes,Neutral,No,Phone,2024-03-10
FB-600073,TKT-101407,CUST-04437,Good support experience overall.,4,Positive,Low,4,4,5,Yes,Satisfied,No,Chat,2024-02-08
FB-600074,TKT-101854,CUST-07516,Issue was resolved eventually.,3,Neutral,Low,3,4,4,Yes,Neutral,No,Chat,2024-03-01
FB-600075,TKT-100090,CUST-07278,Outstanding service. Highly recommend!,5,Very Positive,Low,4,3,4,Yes,Delighted,No,Chat,2024-04-22
FB-600076,TKT-100330,CUST-09455,Felt like my issue wasn't prioritized.,2,Negative,Medium,5,1,5,No,Frustrated,No,Survey,2024-05-28
FB-600077,TKT-101148,CUST-05493,Completely unacceptable service. Agent was rude and dismissive.,1,Very Negative,Low,1,4,5,No,Angry,Yes,Phone,2024-05-25
FB-600078,TKT-101117,CUST-13951,Resolution took longer than expected.,2,Negative,Low,4,4,4,No,Angry,No,Phone,2024-01-12
FB-600079,TKT-100880,CUST-04731,Excellent support! Agent went above and beyond.,5,Very Positive,Medium,3,2,3,Yes,Delighted,Yes,Email,2024-05-01
FB-600080,TKT-101840,CUST-05329,Agent wasn't helpful. Had to repeat myself multiple times.,3,Negative,Low,2,3,3,Yes,Frustrated,No,Chat,2024-06-03
FB-600081,TKT-101597,CUST-04944,Agent explained everything clearly.,4,Positive,Low,3,4,3,Yes,Satisfied,No,Phone,2024-05-20
FB-600082,TKT-101895,CUST-08532,Fastest resolution ever. Very impressed.,5,Very Positive,Low,5,5,4,Yes,Delighted,No,Phone,2024-01-10
FB-600083,TKT-101805,CUST-08727,Excellent support! Agent went above and beyond.,5,Very Positive,Low,1,1,3,Yes,Delighted,Yes,Chat,2024-03-05
FB-600084,TKT-101602,CUST-05090,Issue resolved in reasonable time.,4,Positive,Medium,4,4,5,Yes,Satisfied,Yes,Email,2024-01-27
FB-600085,TKT-100783,CUST-07443,Agent was knowledgeable and helpful.,4,Positive,Low,3,3,1,Yes,Satisfied,No,Phone,2024-01-06
FB-600086,TKT-100408,CUST-01964,Agent explained everything clearly.,4,Positive,Low,5,4,5,Yes,Satisfied,Yes,Phone,2024-06-13
FB-600087,TKT-100456,CUST-11015,Issue resolved in reasonable time.,4,Positive,Low,4,2,5,Yes,Satisfied,Yes,Chat,2024-01-04
FB-600088,TKT-101770,CUST-12811,Got the help I needed but could have been faster.,3,Neutral,Low,4,4,2,No,Neutral,No,Survey,2024-06-02
FB-600089,TKT-101391,CUST-08907,Satisfied with the resolution provided.,5,Positive,Low,4,5,4,Yes,Satisfied,Yes,Email,2024-05-12
FB-600090,TKT-100236,CUST-08332,Resolution took longer than expected.,2,Negative,Low,2,1,5,No,Frustrated,Yes,Chat,2024-03-06
FB-600091,TKT-100078,CUST-06668,Best support experience I've had. Thank you!,5,Very Positive,Low,4,5,4,Yes,Delighted,No,Chat,2024-03-22
FB-600092,TKT-100893,CUST-11985,Nothing special but acceptable.,3,Neutral,Low,5,3,4,Yes,Neutral,Yes,Social Media,2024-03-19
FB-600093,TKT-100389,CUST-06402,Issue was resolved eventually.,3,Neutral,Low,5,5,2,No,Neutral,Yes,Social Media,2024-05-24
FB-600094,TKT-101406,CUST-08157,Issue resolved in reasonable time.,5,Positive,Medium,1,4,3,Yes,Satisfied,Yes,Email,2024-05-05
FB-600095,TKT-101943,CUST-03438,Good support experience overall.,5,Positive,Low,4,4,4,Yes,Satisfied,No,Email,2024-04-27
FB-600096,TKT-101474,CUST-03456,Good support experience overall.,5,Positive,Low,3,5,4,Yes,Satisfied,No,Survey,2024-04-02
FB-600097,TKT-100668,CUST-10083,Outstanding service. Highly recommend!,5,Very Positive,Low,2,5,3,Yes,Delighted,No,Phone,2024-06-18
FB-600098,TKT-100861,CUST-03655,Felt like my issue wasn't prioritized.,2,Negative,Low,4,4,5,No,Frustrated,No,Phone,2024-02-14
FB-600099,TKT-101260,CUST-10203,Got the help I needed but could have been faster.,3,Neutral,Medium,4,4,4,No,Neutral,No,Email,2024-04-16
FB-600100,TKT-100622,CUST-04416,Fastest resolution ever. Very impressed.,5,Very Positive,Medium,3,5,4,Yes,Delighted,No,Social Media,2024-06-28
FB-600101,TKT-101242,CUST-04879,Got the help I needed but could have been faster.,3,Neutral,Low,4,4,3,No,Neutral,No,Phone,2024-05-09
FB-600102,TKT-101046,CUST-08873,Issue resolved in reasonable time.,5,Positive,Medium,2,4,5,Yes,Satisfied,No,Chat,2024-04-16
FB-600103,TKT-101055,CUST-09767,Satisfied with the resolution provided.,4,Positive,Low,3,4,2,Yes,Satisfied,Yes,Phone,2024-04-28
FB-600104,TKT-101377,CUST-10156,Support was adequate. Could be better.,3,Neutral,Medium,3,3,3,Yes,Neutral,Yes,Email,2024-02-13
FB-600105,TKT-100501,CUST-09822,Nothing special but acceptable.,3,Neutral,Low,4,4,4,Yes,Neutral,No,Social Media,2024-05-25
FB-600106,TKT-100398,CUST-13696,Felt like my issue wasn't prioritized.,2,Negative,Low,4,4,4,No,Frustrated,No,Phone,2024-04-10
FB-600107,TKT-100302,CUST-01542,Issue was resolved eventually.,3,Neutral,Low,4,4,5,Yes,Neutral,No,Phone,2024-04-30
FB-600108,TKT-100360,CUST-09608,Nothing special but acceptable.,3,Neutral,Medium,2,3,2,No,Neutral,Yes,Phone,2024-03-15
FB-600109,TKT-101878,CUST-10299,Response time was slow. Could have been resolved faster.,3,Negative,Medium,5,2,4,No,Frustrated,Yes,Survey,2024-02-05
FB-600110,TKT-101367,CUST-03298,Best support experience I've had. Thank you!,5,Very Positive,Low,4,5,1,Yes,Delighted,No,Survey,2024-04-27
FB-600111,TKT-101254,CUST-13798,Nothing special but acceptable.,3,Neutral,Low,4,5,4,No,Neutral,No,Social Media,2024-05-15
FB-600112,TKT-100913,CUST-11047,Issue resolved in reasonable time.,4,Positive,Low,2,3,4,Yes,Satisfied,No,Survey,2024-01-20
FB-600113,TKT-100921,CUST-06463,Support was adequate. Could be better.,3,Neutral,Medium,4,3,4,No,Neutral,No,Social Media,2024-05-18
FB-600114,TKT-100992,CUST-13056,Fastest resolution ever. Very impressed.,5,Very Positive,Low,4,4,4,Yes,Delighted,Yes,Email,2024-01-05
FB-600115,TKT-101461,CUST-07772,Agent wasn't helpful. Had to repeat myself multiple times.,3,Negative,Medium,4,2,2,No,Frustrated,Yes,Social Media,2024-01-09
FB-600116,TKT-100165,CUST-11799,Issue resolved in reasonable time.,5,Positive,Low,4,2,5,Yes,Satisfied,Yes,Phone,2024-06-26
FB-600117,TKT-101446,CUST-03880,Response time was slow. Could have been resolved faster.,3,Negative,Low,2,4,5,No,Angry,No,Social Media,2024-02-29
FB-600118,TKT-100954,CUST-08723,Excellent support! Agent went above and beyond.,5,Very Positive,Medium,4,3,2,Yes,Delighted,Yes,Survey,2024-06-13
FB-600119,TKT-100797,CUST-13177,Best support experience I've had. Thank you!,5,Very Positive,Low,4,4,5,Yes,Delighted,No,Email,2024-03-29
FB-600120,TKT-101754,CUST-11470,Satisfied with the resolution provided.,5,Positive,Low,3,4,3,Yes,Satisfied,Yes,Email,2024-01-23
FB-600121,TKT-101930,CUST-09860,Got the help I needed but could have been faster.,3,Neutral,Low,3,4,4,No,Neutral,No,Survey,2024-02-22
FB-600122,TKT-101102,CUST-13458,Best support experience I've had. Thank you!,5,Very Positive,Low,2,5,4,Yes,Delighted,No,Phone,2024-02-11
FB-600123,TKT-100999,CUST-12502,Resolution took longer than expected.,2,Negative,Low,4,5,4,No,Angry,No,Email,2024-04-06
FB-600124,TKT-100796,CUST-06664,Agent explained everything clearly.,4,Positive,Low,1,4,5,Yes,Satisfied,No,Survey,2024-05-02
FB-600125,TKT-101883,CUST-04731,Satisfied with the resolution provided.,5,Positive,Low,2,5,2,Yes,Satisfied,No,Survey,2024-01-15
FB-600126,TKT-101212,CUST-01842,Agent was knowledgeable and helpful.,4,Positive,Low,3,5,1,Yes,Satisfied,Yes,Survey,2024-04-24
FB-600127,TKT-100277,CUST-13428,Agent explained everything clearly.,5,Positive,Low,4,5,5,Yes,Satisfied,Yes,Chat,2024-04-13
FB-600128,TKT-100776,CUST-13732,Issue resolved in reasonable time.,5,Positive,Low,3,4,5,Yes,Satisfied,No,Chat,2024-04-13
FB-600129,TKT-101558,CUST-08261,Agent explained everything clearly.,4,Positive,Low,4,4,2,Yes,Satisfied,Yes,Survey,2024-03-08
FB-600130,TKT-100516,CUST-03187,Agent was knowledgeable and helpful.,4,Positive,Low,2,4,4,Yes,Satisfied,No,Social Media,2024-02-20
FB-600131,TKT-100106,CUST-01591,Issue resolved in reasonable time.,5,Positive,Low,5,2,3,Yes,Satisfied,No,Email,2024-03-30
FB-600132,TKT-101544,CUST-12150,Fastest resolution ever. Very impressed.,5,Very Positive,Medium,5,5,4,Yes,Delighted,Yes,Email,2024-06-16
FB-600133,TKT-101272,CUST-01226,Issue resolved in reasonable time.,4,Positive,Medium,3,5,1,Yes,Satisfied,Yes,Email,2024-06-17
FB-600134,TKT-101155,CUST-08448,Felt like my issue wasn't prioritized.,3,Negative,Low,5,3,3,No,Angry,No,Phone,2024-01-17
FB-600135,TKT-101240,CUST-12400,Agent was knowledgeable and helpful.,4,Positive,Low,2,3,4,Yes,Satisfied,No,Phone,2024-03-28
FB-600136,TKT-101975,CUST-11825,Issue was resolved eventually.,3,Neutral,Low,3,3,3,Yes,Neutral,No,Social Media,2024-02-18
FB-600137,TKT-101387,CUST-07516,Felt like my issue wasn't prioritized.,3,Negative,Low,4,5,4,No,Frustrated,No,Phone,2024-03-11
FB-600138,TKT-100155,CUST-09306,Issue resolved in reasonable time.,4,Positive,Low,3,5,3,Yes,Satisfied,Yes,Chat,2024-06-06
FB-600139,TKT-101741,CUST-11633,Support quality has declined recently.,2,Negative,Low,5,4,3,No,Angry,No,Social Media,2024-04-22
FB-600140,TKT-101602,CUST-04629,Got the help I needed but could have been faster.,3,Neutral,Low,2,3,5,No,Neutral,No,Email,2024-04-12
FB-600141,TKT-101036,CUST-14852,Good support experience overall.,5,Positive,Low,4,4,1,Yes,Satisfied,Yes,Survey,2024-02-01
FB-600142,TKT-101684,CUST-06660,Agent was knowledgeable and helpful.,4,Positive,Low,4,3,2,Yes,Satisfied,No,Chat,2024-03-12
FB-600143,TKT-101301,CUST-10557,Felt like my issue wasn't prioritized.,2,Negative,Low,5,4,4,No,Angry,No,Survey,2024-03-28
FB-600144,TKT-100360,CUST-05087,Satisfied with the resolution provided.,5,Positive,Low,5,5,2,Yes,Satisfied,No,Chat,2024-05-21
FB-600145,TKT-101261,CUST-06456,Nothing special but acceptable.,3,Neutral,Low,1,2,3,No,Neutral,No,Social Media,2024-05-26
FB-600146,TKT-100549,CUST-06851,Agent wasn't helpful. Had to repeat myself multiple times.,2,Negative,Low,3,5,5,No,Frustrated,No,Email,2024-05-09
FB-600147,TKT-100571,CUST-06604,Standard support experience.,3,Neutral,Medium,5,3,5,Yes,Neutral,No,Social Media,2024-05-16
FB-600148,TKT-101249,CUST-11301,Standard support experience.,3,Neutral,Low,5,5,2,No,Neutral,Yes,Chat,2024-06-06
FB-600149,TKT-100372,CUST-01468,Issue resolved in reasonable time.,5,Positive,Low,2,4,4,Yes,Satisfied,Yes,Chat,2024-01-09
FB-600150,TKT-100697,CUST-13055,Satisfied with the resolution provided.,4,Positive,Low,2,4,4,Yes,Satisfied,No,Chat,2024-06-02
FB-600151,TKT-101138,CUST-04436,Satisfied with the resolution provided.,4,Positive,Low,4,5,4,Yes,Satisfied,No,Email,2024-02-11
FB-600152,TKT-100494,CUST-12584,Agent explained everything clearly.,5,Positive,Medium,3,4,4,Yes,Satisfied,No,Phone,2024-04-26
FB-600153,TKT-101414,CUST-14129,Staff doesn't know what they're doing. Product is broken.,1,Very Negative,Low,3,5,3,No,Angry,No,Email,2024-02-22
FB-600154,TKT-100190,CUST-04688,Agent wasn't helpful. Had to repeat myself multiple times.,2,Negative,Low,3,5,4,No,Frustrated,No,Phone,2024-02-23
FB-600155,TKT-100627,CUST-09767,Satisfied with the resolution provided.,4,Positive,Medium,4,2,5,Yes,Satisfied,Yes,Social Media,2024-01-11
FB-600156,TKT-101087,CUST-13373,Standard support experience.,3,Neutral,Low,3,4,4,No,Neutral,Yes,Survey,2024-04-20
FB-600157,TKT-100554,CUST-01246,Outstanding service. Highly recommend!,5,Very Positive,Medium,4,3,4,Yes,Delighted,Yes,Phone,2024-03-21
FB-600158,TKT-100646,CUST-09436,Satisfied with the resolution provided.,4,Positive,Medium,4,4,3,Yes,Satisfied,No,Phone,2024-02-09
FB-600159,TKT-100392,CUST-07964,Agent explained everything clearly.,4,Positive,Low,4,4,1,Yes,Satisfied,Yes,Social Media,2024-04-17
FB-600160,TKT-101556,CUST-03834,Satisfied with the resolution provided.,5,Positive,High,2,3,5,Yes,Satisfied,Yes,Email,2024-02-18
FB-600161,TKT-101705,CUST-13805,Resolution took longer than expected.,3,Negative,Low,4,2,5,Yes,Angry,Yes,Chat,2024-05-28
FB-600162,TKT-100028,CUST-07153,Satisfied with the resolution provided.,4,Positive,Low,5,3,4,Yes,Satisfied,Yes,Email,2024-05-22
FB-600163,TKT-101995,CUST-14631,Satisfied with the resolution provided.,4,Positive,Low,1,5,5,Yes,Satisfied,Yes,Phone,2024-05-30
FB-600164,TKT-101306,CUST-04132,Agent explained everything clearly.,5,Positive,Low,1,4,3,Yes,Satisfied,Yes,Email,2024-06-24
FB-600165,TKT-101175,CUST-03170,Felt like my issue wasn't prioritized.,2,Negative,Low,4,5,5,No,Frustrated,No,Chat,2024-04-12
FB-600166,TKT-100377,CUST-03752,No solution provided. Ticket was escalated multiple times.,1,Very Negative,Low,4,4,5,No,Angry,No,Survey,2024-06-19
FB-600167,TKT-100233,CUST-04710,Issue was resolved eventually.,3,Neutral,Low,1,3,4,No,Neutral,No,Social Media,2024-04-02
FB-600168,TKT-101289,CUST-13847,Agent was knowledgeable and helpful.,4,Positive,Low,5,4,3,Yes,Satisfied,Yes,Social Media,2024-02-24
FB-600169,TKT-101943,CUST-05490,Agent was knowledgeable and helpful.,5,Positive,Medium,5,4,5,Yes,Satisfied,No,Email,2024-05-02
FB-600170,TKT-101142,CUST-07595,Agent was professional and solved issue immediately.,5,Very Positive,Low,4,4,4,Yes,Delighted,No,Social Media,2024-01-16
FB-600171,TKT-100462,CUST-01030,Best support experience I've had. Thank you!,5,Very Positive,Low,4,4,4,Yes,Delighted,Yes,Survey,2024-05-12
FB-600172,TKT-100608,CUST-14554,Satisfied with the resolution provided.,4,Positive,Medium,3,3,3,Yes,Satisfied,No,Chat,2024-02-06
FB-600173,TKT-101164,CUST-10133,Completely unacceptable service. Agent was rude and dismissive.,1,Very Negative,Low,1,2,3,No,Angry,No,Email,2024-05-19
FB-600174,TKT-101940,CUST-03594,Fastest resolution ever. Very impressed.,5,Very Positive,Low,3,4,5,Yes,Delighted,No,Chat,2024-03-03
FB-600175,TKT-101352,CUST-12754,Fastest resolution ever. Very impressed.,5,Very Positive,Low,4,3,5,Yes,Delighted,Yes,Social Media,2024-02-28
FB-600176,TKT-100153,CUST-05763,Issue was resolved eventually.,3,Neutral,Low,2,5,2,No,Neutral,No,Social Media,2024-04-16
FB-600177,TKT-100962,CUST-02312,Response time was slow. Could have been resolved faster.,3,Negative,High,5,5,5,Yes,Frustrated,Yes,Chat,2024-06-25
FB-600178,TKT-101439,CUST-02148,Agent explained everything clearly.,5,Positive,Low,2,4,5,Yes,Satisfied,Yes,Phone,2024-03-02
FB-600179,TKT-101892,CUST-04232,Best support experience I've had. Thank you!,5,Very Positive,Low,4,4,4,Yes,Delighted,No,Phone,2024-03-29
FB-600180,TKT-100870,CUST-04923,Satisfied with the resolution provided.,5,Positive,Low,4,4,3,Yes,Satisfied,Yes,Phone,2024-01-29
FB-600181,TKT-101860,CUST-04718,Fastest resolution ever. Very impressed.,5,Very Positive,Low,5,5,4,Yes,Delighted,Yes,Phone,2024-01-05
FB-600182,TKT-101623,CUST-07963,Satisfied with the resolution provided.,5,Positive,Low,3,3,4,Yes,Satisfied,No,Social Media,2024-03-30
FB-600183,TKT-101886,CUST-05323,Agent explained everything clearly.,4,Positive,Low,4,2,5,Yes,Satisfied,Yes,Chat,2024-02-09
FB-600184,TKT-101433,CUST-10083,Outstanding service. Highly recommend!,5,Very Positive,Low,5,4,4,Yes,Delighted,No,Survey,2024-02-09
FB-600185,TKT-100896,CUST-05082,Satisfied with the resolution provided.,4,Positive,Low,4,5,3,Yes,Satisfied,Yes,Survey,2024-02-28
FB-600186,TKT-101504,CUST-06851,Best support experience I've had. Thank you!,5,Very Positive,Low,5,4,4,Yes,Delighted,Yes,Email,2024-06-03
FB-600187,TKT-100468,CUST-12744,Satisfied with the resolution provided.,4,Positive,Low,5,4,5,Yes,Satisfied,No,Email,2024-06-18
